HD,Teff,log_g,vt,Fe_H,mv,Av,p,e_p,Mv,BC,Mbol,log_L,M,e_M_pos,e_M_neg,log_R,e_log_R,log_age,e_log_age_pos,e_log_age_neg,log_g_TLM,source_id
87,5072,2.63,1.35,-0.07,5.55,0.07,8.75,0.8,0.19,-0.24,-0.05,1.92,2.74,0.13,-0.1,1.07,0.04,8.66,0.04,-0.05,2.73,2768591448634694912
360,4850,2.62,1.34,-0.08,5.99,0.1,9.79,0.92,0.84,-0.32,0.53,1.69,2.34,0.1,-0.27,1.0,0.05,8.86,0.15,-0.06,2.82,2429415922764859392
448,4780,2.51,1.32,0.03,5.57,0.12,11.17,0.72,0.69,-0.34,0.34,1.76,2.25,0.31,-0.24,1.05,0.03,8.99,0.14,-0.25,2.7,2797074778388646016
587,4893,3.08,1.13,-0.09,5.84,0.1,18.18,0.92,2.04,-0.3,1.74,1.2,1.58,0.2,-0.23,0.75,0.03,9.36,0.25,-0.17,3.15,2443724589131828224
645,4880,3.03,1.18,0.07,5.84,0.1,15.35,0.74,1.67,-0.3,1.37,1.35,1.95,0.11,-0.37,0.82,0.03,9.08,0.29,-0.07,3.08,2418378578368615680
1239,5114,2.21,1.63,-0.24,5.74,0.49,5.08,0.58,-1.22,-0.23,-1.44,2.48,3.75,0.2,-0.18,1.35,0.05,8.28,0.06,-0.06,2.32,429685128350863872
2114,5230,2.57,1.57,-0.03,5.77,0.1,5.5,1.03,-0.63,-0.19,-0.82,2.23,3.29,0.41,-0.32,1.2,0.08,8.45,0.11,-0.14,2.55,2547633626278189184
2952,4844,2.67,1.32,0.0,5.93,0.18,8.68,0.71,0.44,-0.32,0.12,1.85,2.54,0.12,-0.09,1.08,0.04,8.76,0.07,-0.07,2.69,418206501834841600
3421,5287,1.88,2.14,-0.2,5.45,0.24,3.19,0.77,-2.27,-0.18,-2.45,2.88,4.43,0.28,-0.24,1.52,0.11,8.13,0.06,-0.07,2.05,365652216839649280
3546,4882,2.09,1.44,-0.67,4.34,0.08,19.34,0.76,0.69,-0.31,0.38,1.75,2.0,0.15,-0.54,1.02,0.03,8.95,0.42,-0.09,2.7,2858181236614036864
3817,5041,2.52,1.4,-0.12,5.3,0.11,9.47,0.81,0.07,-0.25,-0.17,1.97,2.81,0.12,-0.13,1.1,0.04,8.62,0.11,-0.05,2.68,368641514078070016
3856,4766,2.28,1.35,-0.15,5.83,0.42,6.48,0.58,-0.53,-0.35,-0.88,2.25,3.09,0.15,-0.26,1.29,0.04,8.55,0.15,-0.09,2.34,527641409534605952
4188,4844,2.58,1.32,-0.01,4.77,0.1,15.54,0.82,0.63,-0.32,0.31,1.77,2.54,0.02,-0.57,1.04,0.03,8.75,0.4,-0.02,2.76,2377777840203597952
4398,4892,2.56,1.37,-0.18,5.49,0.1,9.78,0.71,0.34,-0.3,0.04,1.88,2.59,0.08,-0.31,1.09,0.04,8.72,0.22,-0.05,2.68,2349116011607993344
4440,4842,2.91,1.15,-0.1,5.86,0.04,14.65,1.35,1.65,-0.32,1.33,1.37,1.81,0.18,-0.36,0.84,0.04,9.19,0.31,-0.13,3.02,536756498370673792
4627,4599,2.05,1.4,-0.2,5.92,0.12,4.93,0.82,-0.74,-0.43,-1.17,2.37,3.06,0.34,-0.43,1.38,0.08,8.56,0.2,-0.1,2.16,2556745141696841984
4732,4959,3.16,1.12,0.01,5.9,0.1,17.7,0.99,2.04,-0.27,1.77,1.19,1.74,0.14,-0.2,0.73,0.03,9.24,0.17,-0.1,3.22,2345744256120965504
5395,4774,2.17,1.4,-0.45,4.62,0.18,15.84,0.58,0.44,-0.35,0.09,1.86,1.95,0.32,-0.19,1.1,0.03,9.08,0.11,-0.19,2.54,425940947659705600
5608,4854,3.03,1.08,0.06,5.99,0.06,17.19,0.83,2.11,-0.31,1.8,1.18,1.55,0.19,-0.23,0.74,0.03,9.4,0.24,-0.16,3.15,362706006713454208
5722,4893,2.49,1.39,-0.23,5.62,0.1,10.35,0.96,0.59,-0.3,0.29,1.78,2.26,0.25,-0.13,1.04,0.05,8.95,0.07,-0.2,2.72,2472524234636869248
6186,4829,2.3,1.35,-0.31,4.27,0.05,17.14,0.81,0.39,-0.32,0.06,1.88,2.3,0.26,-0.19,1.09,0.03,8.92,0.11,-0.21,2.61,2577673177300873216
7087,4908,2.39,1.53,-0.04,4.66,0.14,7.42,0.68,-1.13,-0.29,-1.43,2.47,3.83,0.22,-0.2,1.38,0.04,8.28,0.07,-0.07,2.27,2790237499690691840
9057,4883,2.49,1.37,0.04,5.27,0.09,11.26,0.77,0.44,-0.3,0.14,1.85,2.56,0.11,-0.2,1.07,0.04,8.78,0.13,-0.08,2.71,398968209436589312
9408,4746,2.21,1.4,-0.34,4.68,0.18,15.96,0.68,0.52,-0.36,0.16,1.83,2.04,0.15,-0.15,1.09,0.03,9.0,0.09,-0.1,2.57,509342237530006016
9774,4980,2.5,1.6,0.02,5.28,0.09,7.3,0.7,-0.49,-0.27,-0.76,2.2,3.25,0.23,-0.2,1.23,0.05,8.46,0.07,-0.08,2.49,534739611789943808
10348,4931,2.55,1.56,0.01,5.97,0.22,6.23,0.8,-0.28,-0.28,-0.56,2.12,3.04,0.3,-0.15,1.2,0.06,8.54,0.06,-0.1,2.52,302679818662240640
10761,4952,2.43,1.43,-0.05,4.26,0.07,12.63,0.86,-0.3,-0.28,-0.58,2.13,3.04,0.13,-0.12,1.2,0.04,8.53,0.05,-0.04,2.52,2572221764290136192
10975,4866,2.47,1.37,-0.17,5.94,0.1,10.57,0.72,0.96,-0.31,0.65,1.64,2.19,0.13,-0.19,0.97,0.04,8.94,0.1,-0.09,2.84,343449606741529728
11037,4862,2.45,1.33,-0.14,5.91,0.08,9.95,0.89,0.82,-0.31,0.51,1.7,2.3,0.12,-0.17,1.0,0.04,8.88,0.08,-0.08,2.8,2512824943566639232
11949,4845,2.85,1.17,-0.1,5.7,0.11,13.25,0.71,1.2,-0.32,0.88,1.55,2.17,0.07,-0.19,0.93,0.03,8.94,0.16,-0.04,2.92,357623445496975872
12139,4833,2.53,1.36,-0.09,5.89,0.12,8.17,0.84,0.33,-0.32,0.01,1.89,2.45,0.23,-0.18,1.1,0.05,8.87,0.07,-0.18,2.62,94423107951456768
12339,5011,2.52,1.51,-0.03,5.22,0.08,7.65,0.52,-0.44,-0.26,-0.7,2.18,3.19,0.15,-0.15,1.21,0.04,8.48,0.05,-0.05,2.51,559491100295682048
