HD,E(B-V),T_eff,log_g,xi_t,Fe/H,Mass,pi,delta_pi,M_V,BC,M_bol,log_L,source_id
HD 1367,0.013,4982,3.01,1.3,-0.01,2.27,9.89,0.98,1.166,-0.267,0.899,1.5364,2547964815499312768
HD 1419,0.056,4888,2.77,1.3,0.10,2.98,7.28,0.89,0.376,-0.300,0.076,1.8656,2755113944338941184
HD 5268,0.030,4919,2.71,1.4,-0.48,1.66,8.60,0.79,0.834,-0.292,0.542,1.6792,2474456351444863744
HD 6482,0.022,4838,2.91,1.1,0.02,2.00,10.58,0.72,1.223,-0.319,0.904,1.5344,2473189439172384000
HD 6557,0.011,4842,2.75,1.3,-0.27,1.88,8.91,0.75,0.890,-0.319,0.571,1.6676,2584631814593774592
HD 8599,0.015,4871,3.01,1.1,-0.20,1.56,12.75,0.75,1.593,-0.307,1.286,1.3816,2484969675470524928
HD 21665,0.024,4834,2.76,1.3,0.00,2.32,8.72,0.93,0.698,-0.321,0.377,1.7452,5168901782487608704
HD 22695,0.070,5052,2.95,1.2,0.09,2.75,8.09,0.99,0.722,-0.243,0.479,1.7044,44022452711871360
HD 22799,0.035,4771,2.71,1.3,-0.19,1.88,8.68,0.88,0.881,-0.348,0.533,1.6828,5163967139942513408
HD 22819,0.063,4969,2.84,1.3,-0.01,2.69,7.74,0.72,0.572,-0.271,0.301,1.7756,3251413255231535104
HD 23183,0.101,4966,2.93,1.3,-0.14,2.24,9.39,0.91,1.003,-0.273,0.73,1.604,57064451620025088
HD 26076,0.037,4870,2.85,1.2,0.05,2.47,8.92,0.64,0.800,-0.307,0.493,1.6988,501158744268403072
HD 28322,0.060,4895,2.89,1.2,-0.05,2.20,9.33,1.14,1.004,-0.298,0.706,1.6136,3279137956323081344
HD 29610,0.016,4983,2.66,1.3,0.04,3.34,5.64,0.89,0.668,-0.266,0.402,1.7352,3229429069990276864
HD 37601,0.018,4954,3.27,0.9,0.06,1.77,16.26,0.70,2.107,-0.276,1.831,1.1636,268432917676280704
HD 37638,0.031,5096,3.10,1.3,-0.06,2.34,10.26,0.73,1.223,-0.231,0.992,1.4992,283455437670454016
HD 38713,0.039,5092,2.62,1.5,-0.13,3.41,4.91,0.75,0.845,-0.233,0.612,1.6512,2994992094070424192
HD 40801,0.021,4834,2.95,1.0,-0.17,1.59,12.47,1.93,1.572,-0.322,1.25,1.396,960883900373695744
HD 41125,0.065,5077,2.91,1.3,-0.04,2.78,7.52,0.78,0.577,-0.237,0.34,1.76,2994131313904384256
HD 43261,0.030,5052,2.85,1.4,-0.07,2.80,7.48,0.84,0.453,-0.245,0.208,1.8128,3425633243476154496
HD 47358,0.018,4789,2.66,1.3,-0.15,2.22,7.78,0.94,0.553,-0.340,0.213,1.8108,3379154206913709056
HD 47366,0.030,4883,3.00,1.2,-0.10,1.87,11.75,0.76,1.467,-0.302,1.165,1.43,2951804033248308480
HD 68461,0.015,4686,2.40,1.0,-0.33,3.16,6.18,0.94,0.406,-0.204,0.202,1.8152,656549321007564800
HD 70673,0.011,4779,2.65,1.3,-0.18,2.09,7.93,0.85,0.612,-0.344,0.268,1.7888,5723917007169042816
HD 72582,0.007,4800,2.79,1.2,-0.03,2.02,9.18,0.60,0.974,-0.335,0.639,1.6404,1123263037441061888
HD 73971,0.013,4831,2.71,1.2,-0.21,2.06,7.92,0.78,0.715,-0.323,0.392,1.7392,1013695810383617152
HD 74485,0.028,5016,2.80,1.2,-0.08,3.00,6.84,0.76,0.297,-0.256,0.041,1.8796,706409046589939456
HD 76494,0.033,4828,2.16,1.6,-0.20,3.84,3.21,1.06,1.987,-0.324,1.663,1.2308,581578502191289344
HD 76508,0.008,4819,2.82,1.3,0.08,2.43,8.50,0.91,0.811,-0.327,0.484,1.7024,611616816265130240
HD 78715,0.024,5089,2.88,1.2,-0.10,2.80,7.76,0.83,0.480,-0.234,0.246,1.7976,685299763366337664
HD 82638,0.017,4892,2.79,1.4,-0.18,2.26,8.30,0.78,0.723,-0.299,0.424,1.7264,5741852137761115392
HD 102845,0.024,4975,2.56,1.2,-0.07,3.51,4.85,0.85,0.973,-0.269,0.704,1.6144,3571569321589399552
HD 108861,0.009,4824,2.74,1.2,-0.09,2.73,7.62,0.57,0.480,-0.325,0.155,1.834,1580936921462126336
HD 112570,0.011,4734,2.64,1.1,-0.28,1.52,9.48,0.73,1.002,-0.364,0.638,1.6408,1530780980576364032
HD 113994,0.008,4767,2.64,1.1,-0.29,1.66,8.64,0.53,0.841,-0.350,0.491,1.6996,1675762068416812160
HD 119035,0.012,4816,2.51,1.3,-0.35,2.26,6.04,0.76,0.543,-0.330,0.213,1.8108,1456479523822233344
HD 130025,0.022,5236,2.88,1.2,-0.04,2.99,6.59,0.77,0.252,-0.193,0.059,1.8724,1237414819968763776
HD 136366,0.072,4931,2.59,1.4,-0.06,3.36,5.17,1.14,0.832,-0.285,0.547,1.6772,6258095833667835520
HD 139761,0.013,4709,2.51,1.3,-0.23,2.01,7.09,0.59,0.388,-0.376,0.012,1.8912,1374185888847485440
HD 141853,0.074,4901,2.49,1.5,-0.24,3.23,4.71,0.84,1.016,-0.296,0.72,1.608,6263816352154080896
HD 147266,0.028,4997,2.96,1.2,-0.03,2.47,9.46,0.70,0.924,-0.262,0.662,1.6312,1202356788639458688
HD 154633,0.010,4949,2.95,1.2,0.11,2.64,9.05,0.50,0.882,-0.277,0.605,1.654,1632286176065357184
HD 173398,0.016,4945,2.91,1.2,0.13,2.74,8.51,0.49,0.746,-0.279,0.467,1.7092,2157180623299744128
HD 173416,0.024,4741,2.60,1.3,-0.16,2.37,7.41,0.53,0.406,-0.361,0.045,1.878,2096524140211914368
HD 175679,0.007,4844,2.59,1.4,-0.14,2.67,6.23,0.80,0.520,-0.318,0.202,1.8152,4280672412186891904
HD 187193,0.001,4786,2.63,1.3,-0.20,2.06,8.16,0.72,0.571,-0.341,0.23,1.804,2020909965368561536
HD 193556,0.037,5104,2.76,1.3,0.03,3.17,5.93,0.80,0.418,-0.228,0.19,1.82,1805241244904185984
HD 194953,0.033,5092,2.88,1.3,-0.11,2.80,7.15,0.92,0.482,-0.233,0.249,1.7964,4244688557705982464
HD 198404,0.036,4982,2.80,1.4,0.17,3.12,6.58,0.86,0.293,-0.266,0.027,1.8852,1735641639169396864
HD 201051,0.034,4828,2.82,1.3,-0.02,2.06,9.37,0.72,0.994,-0.324,0.67,1.628,1844903446817586688
HD 202261,0.029,4939,2.88,1.3,0.00,2.48,8.85,0.95,0.790,-0.281,0.509,1.6924,6835630808830311552
HD 206005,0.021,4741,2.73,1.2,-0.10,1.66,10.22,0.91,1.117,-0.361,0.756,1.5936,6893329704426700160
HD 206027,0.024,4832,2.76,1.3,0.00,2.35,7.83,0.67,0.674,-0.322,0.352,1.7552,1798044803856557952
HD 206731,0.066,4936,2.34,1.8,-0.14,3.82,3.75,0.61,1.592,-0.283,1.309,1.3724,1978989748829399680
HD 214200,0.026,4871,2.78,1.3,-0.03,2.50,7.81,0.78,0.583,-0.307,0.276,1.7856,1904126647778183424
HD 220465,0.018,4757,2.67,1.3,-0.21,1.67,8.89,0.90,0.942,-0.354,0.588,1.6608,2393196978952955648
HD 221293,0.059,4938,2.57,1.5,-0.07,3.42,5.25,0.80,0.888,-0.282,0.606,1.6536,1919990332824751104
HD 224784,0.042,4803,2.68,1.3,-0.12,2.20,7.63,0.60,0.593,-0.334,0.259,1.7924,423196566637503232
