HD,Teff_BV,Fe_H_BV,logg_BV,vtur_BV,B_V,E_B_V,Mv,BC,mass,log_age,log_L,Teff_eq,Fe_H_eq,logg_eq,vtur_eq,source_id
100055,4900.0,-0.16,2.78,1.79,0.929,0.008,0.72,-0.296,2.29,8.9,1.77,5016,-0.07,2.87,1.76,789156711152195456
101853,4834.0,-0.21,2.549,1.76,0.955,0.019,0.098,-0.322,2.58,8.75,2.0,4990,-0.09,2.79,1.76,769219850916516352
103690,4730.0,-0.32,2.499,1.61,0.996,0.01,0.56,-0.366,1.7,9.24,1.84,4769,-0.29,2.58,1.6,864382410501697024
105475,4764.0,-0.1,2.638,1.46,1.007,0.016,0.345,-0.351,2.74,8.69,1.94,4865,-0.03,2.71,1.44,4003557686272414592
105982,4747.0,-0.11,2.581,1.52,1.015,0.025,0.227,-0.358,2.74,8.69,1.96,4892,-0.01,2.74,1.51,4001682331752271232
107780,4888.0,0.0,2.516,1.76,0.958,0.022,-0.364,-0.3,3.43,8.44,2.18,4905,0.0,2.39,1.75,3583546202967341056
108973,4695.0,-0.17,2.63,1.82,1.034,0.01,1.029,-0.383,1.57,9.39,1.66,4778,-0.14,2.52,1.81,1533758183184133120
109051,4715.0,-0.28,2.524,1.63,1.009,0.01,0.602,-0.373,1.77,9.2,1.83,4848,-0.2,2.52,1.6,1689258367489185152
109305,4663.0,-0.3,2.435,1.77,1.036,0.008,0.55,-0.391,1.61,9.33,1.85,4811,-0.19,2.55,1.74,1519934332725717504
109545,5006.0,0.0,2.888,1.3,0.901,0.037,0.705,-0.259,2.64,8.74,1.73,5090,0.07,2.93,1.29,3530062143461238656
109894,4848.0,-0.39,2.619,1.36,0.924,0.009,0.644,-0.317,1.8,9.15,1.79,4708,-0.52,2.06,1.36,1571090004562143232
111163,4955.0,-0.27,2.77,1.42,0.886,0.018,0.647,-0.278,2.25,8.9,1.76,5044,-0.2,2.89,1.42,3934114318568578432
111272,4778.0,-0.53,2.443,1.54,0.944,0.013,0.773,-0.346,1.16,9.71,1.74,4891,-0.44,2.54,1.55,3941869242798412032
111381,4876.0,-0.24,2.703,1.71,0.93,0.01,0.635,-0.306,2.13,8.97,1.78,4980,-0.17,2.72,1.68,1569800758459469824
111541,4617.0,-0.39,2.219,1.68,1.052,0.01,-0.03,-0.417,1.78,9.17,2.09,4689,-0.32,2.35,1.66,3961552077187975168
112281,4816.0,-0.37,2.493,1.67,0.943,0.017,0.179,-0.33,2.15,8.94,2.0,4917,-0.27,2.74,1.65,3689765932517799808
112814,4838.0,-0.35,2.527,1.82,0.934,0.012,0.179,-0.321,2.26,8.88,1.99,4965,-0.25,2.68,1.8,1526881562587401856
113021,4844.0,-0.54,2.391,1.52,0.907,0.009,0.04,-0.32,1.87,9.06,2.02,4899,-0.5,2.43,1.53,1467118260894653952
114093,4842.0,-0.44,2.461,1.46,0.921,0.012,0.151,-0.32,1.99,9.01,1.98,4928,-0.37,2.51,1.47,1459175423254503808
114793,5101.0,-0.08,3.105,1.11,0.845,0.014,1.312,-0.23,2.27,8.93,1.48,5144,-0.06,3.07,1.14,3939603596010626816
114877,4876.0,-0.2,2.74,1.59,0.935,0.012,0.691,-0.305,2.2,8.94,1.76,4885,-0.23,2.41,1.6,1526078163184973568
114988,5241.0,-0.04,2.697,1.38,0.788,0.009,-0.263,-0.192,3.25,8.5,2.07,5031,-0.17,2.89,1.3,1466606816188916480
115381,4813.0,-0.06,2.799,1.7,0.987,0.016,1.134,-0.33,1.81,9.21,1.58,4941,0.0,2.67,1.68,3938915129933127680
115903,4772.0,-0.33,2.671,1.42,0.972,0.028,1.085,-0.348,1.48,9.43,1.62,4814,-0.3,2.67,1.41,3623208542318851072
116172,4875.0,-0.52,2.529,1.35,0.893,0.007,0.502,-0.308,1.62,9.25,1.84,4918,-0.5,2.46,1.37,1551397716950170112
117405,4772.0,-0.61,2.361,1.45,0.938,0.018,0.531,-0.349,1.21,9.64,1.84,4866,-0.54,2.52,1.47,3718144018392729344
117515,4671.0,-0.49,2.526,1.65,1.009,0.021,1.282,-0.387,1.0,9.94,1.71,4793,-0.39,2.7,1.6,3637132654493312384
117877,4852.0,-0.47,2.389,1.3,0.911,0.024,-0.145,-0.316,2.18,8.89,2.09,4956,-0.38,2.55,1.32,3717892573827467008
118670,4841.0,-0.22,3.125,1.18,0.95,0.008,2.355,-0.319,1.2,9.82,1.09,4839,-0.23,3.08,1.19,1441993625629660800
120245,4543.0,-0.32,1.926,1.76,1.103,0.013,-1.298,-0.461,3.23,8.47,2.61,4630,-0.26,2.03,1.75,1496375887352871936
120651,4885.0,-0.24,2.978,1.3,0.925,0.015,1.696,-0.302,1.5,9.43,1.37,4901,-0.24,2.91,1.31,1250259486603268864
121303,4994.0,-0.12,2.236,1.66,0.889,0.075,-1.485,-0.263,4.49,8.13,2.65,4680,-0.37,2.08,1.68,6290809637487889152
121683,4790.0,-0.54,2.521,1.32,0.936,0.012,1.008,-0.341,1.1,9.78,1.65,4803,-0.53,2.52,1.32,1243201206068322176
121883,4904.0,-0.2,2.864,1.52,0.921,0.05,1.11,-0.295,1.93,9.11,1.59,4999,-0.14,2.93,1.54,6302099251083000576
123409,4738.0,-0.38,2.492,1.71,0.984,0.014,0.631,-0.363,1.56,9.35,1.81,4846,-0.29,2.59,1.66,1452580655591028352
124291,4832.0,-0.08,2.718,1.79,0.975,0.004,0.694,-0.322,2.2,8.96,1.76,4949,0.01,2.81,1.78,1498284433380024576
