tic_id,ra,dec,plx,pmRA,pmDEC,Teff,logg,MH,rad,lum,gallong,gallat,Tmag,Vmag,GAIAmag,source_id
314017939,2.35266330878729,-45.7474204026887,24.1983,120.935,-180.438,4854.0,,-0.03,10.2405,,324.337409762387,-69.5945092274652,3.0116,3.88,3.60472,4990516294443333504
290495172,2.50907287924312,-82.224046833041,12.5955,-22.7058,-20.2666,4840.0,,0.1,10.347,,304.627665956745,-34.7674236688279,4.415,5.29,5.01384,4630854015089595776
322008555,2.9835687808127,-42.1721413285743,7.22219,-87.6917,-43.4579,4758.37,,-0.156697,10.7483,,328.59457774012,-72.9312124808097,5.6489,6.53,6.2486,4995360192918817280
290496412,2.90289752707796,-80.1737311694902,5.94591,-10.0283,14.1589,5207.0,,,7.77584,,305.043545537182,-36.7906814882181,6.4103,7.21,6.96344,4634308989861697536
267000601,3.97873245536593,-75.9116147939801,5.20218,-16.4468,-2.14107,4975.0,,,13.9214,,305.786808433857,-41.0191168279587,5.6228,6.49,6.21741,4684936174561038336
246847023,5.37999161778641,-28.9814710181134,9.70813,33.2634,-72.0648,4932.0,,0.1,13.4689,,15.5098898603693,-83.1456594284997,4.34636,5.18,4.91784,2321733980187923712
115443993,6.55588536683052,-39.6493408911636,9.15528,-39.7285,-79.4041,4923.0,,,5.97435,,324.046648842832,-76.4273789222943,6.244,7.11,6.83583,4997382813277631616
281637751,9.32602713623186,-54.3938193409449,7.08266,70.6019,-3.59823,4880.0,,-0.1,10.8936,,307.405626248558,-62.6114927256901,5.5413,6.4,6.13053,4921448787917541888
80420437,10.3315722216893,-46.0849862556477,13.3773,-27.2852,-1.04565,5100.0,,,12.0057,,308.306537567529,-70.9376005530788,3.6972,4.59,4.27093,4976326547130178176
183584846,12.2524756997437,-36.2635347238607,5.57454,-42.0416,13.0649,4938.0,,,7.74809,,306.011203016044,-80.8501963244874,6.7353,7.59,7.32329,5002475063942538624
80470539,12.2363649233358,-46.6976458960862,7.9955,-10.9394,21.8841,5199.0,,0.0,8.52231,,304.2075201253,-70.4244328217666,5.4984,6.28,6.03929,4975349390532708608
322048605,13.4963493829654,-48.791363018618,5.8025,81.0448,7.78126,4944.0,,,10.5491,,301.795558558585,-68.3312681646973,5.9623,6.82,6.54534,4932668754323954176
39082723,13.7512970420924,-69.5270840182499,14.6214,6.84205,-43.7351,4706.0,,-0.05,9.08874,,302.469365125265,-47.5979643864918,4.509,5.45,5.13611,4691986930313219072
63841788,15.1393697992268,-25.7491452745579,6.59609,53.6295,-50.0612,4935.0,,,7.60553,,179.402493463225,-87.5364745394695,6.46006,7.34,7.0629,2344332654991433472
180551159,15.3923997476539,-38.2147734411639,12.5881,-51.2572,-87.3457,5084.0,,-0.09,4.90259,,292.714337831949,-78.7117275254863,5.8112,6.61,6.36331,4989312535369361920
355509477,15.5075847268278,-57.0023880117445,8.02142,6.05462,17.3881,5122.0,,0.05,9.60977,,300.041587277797,-60.0663803479926,5.3163,6.12,5.87093,4907502341912379008
102029734,15.7049573759893,-46.3973103735485,13.2466,-2.57856,12.0983,5163.0,,0.02,7.83959,,297.015891956152,-70.5999795207868,4.6061,5.39,5.15072,4981546822181457024
326095780,15.8237253734217,-29.5258469022725,7.84122,-101.368,-33.492,4872.0,,-0.39,10.3696,,256.205959752184,-86.4567463051924,5.44762,6.28,6.02268,5031542990285872512
234547938,16.827771750488,-61.7752899404737,10.8198,73.9197,-10.9712,5330.0,,0.03,8.97393,,299.640106285828,-55.2513933920424,4.5923,5.36,5.12941,4710627809932009344
206539520,17.5307219466587,-57.6943904625995,6.958,-7.36282,-114.658,5048.0,,-0.74,10.0145,,298.047842241569,-59.2563223868971,5.6099,6.41,6.16914,4910344128497677056
41861079,20.6794139400391,-36.5965384333266,10.9126,54.8601,-20.9322,4878.0,,,6.09532,,269.884666722925,-78.4447718760995,5.8366,6.71,6.42937,5013145034017111680
206589841,20.5397528577583,-59.126466178219,4.3184,-20.9992,-30.72,5219.0,,,8.92346,,295.586417057619,-57.5615066898433,6.7515,7.52,7.28901,4909105120627535872
140493740,21.1679995480194,-34.1399486877309,6.6613,87.3177,41.5323,4963.0,,,9.77093,,259.431906904496,-79.9941310700431,5.8415,6.69,6.42986,5015884810835055360
41863903,21.1699452741767,-41.4925467669444,12.7929,16.5523,-35.2657,4754.75,,-0.198349,10.195,,279.65557886138,-74.099276308721,4.5103,5.42,5.11558,4984231417260290048
52287279,21.9123720403089,-71.7041072357326,9.32049,-1.32455,55.6652,4898.0,,-0.15,5.61491,,298.916384386889,-45.1407485048873,6.4028,7.26,6.98785,4687774151511946368
344368943,22.557798762288,-28.8654370035021,6.36246,41.4366,-9.41254,4809.0,,-0.02,6.13389,,226.653189420153,-81.2650189342531,7.09181,7.96,7.68796,5035157325523945856
32257259,22.8745328962377,-29.9849868350092,5.98707,77.3749,28.0668,5184.0,,,9.93378,,233.27777549872,-80.7551630337073,5.8406,6.62,6.38467,5023006004050778624
207084783,22.8129447472678,-49.0727010409733,23.3497,136.686,153.629,4862.19,,-0.289174,10.2949,,286.26437553319,-66.7470798008547,3.0691,3.93,3.66117,4929469381645492864
41976025,23.2334848197169,-36.8652267806643,15.5106,12.1377,-19.7652,4725.0,,-0.02,8.29853,,263.483595816153,-76.8947265856604,4.5748,5.49,5.18369,5009945558259331584
207091123,23.9300330544888,-53.1998384323033,6.96554,101.521,49.0235,4898.0,,,5.75981,,288.426102409098,-62.663509992765,6.947,7.82,7.54682,4915840763218160640
158623827,24.2013519667326,-48.8039020067912,5.60821,-9.23638,32.0062,5005.0,,,10.4835,,283.886604783544,-66.6126414403059,6.0101,6.85,6.58606,4929816002685540480
42056775,24.6145159107365,-36.5282504894061,9.76789,-13.8901,-121.864,4745.4,,-0.140703,10.64,,259.181692938035,-76.3058940888265,5.0441,5.94,5.65393,5010675118584277248
32354173,25.5359262557459,-32.3270239464582,15.0534,-76.7143,4.52112,4707.0,,-0.22,9.57044,,241.269684240668,-77.8377810837861,4.3495,5.25,4.96029,5021530047130652800
229140446,26.1628689669982,-51.0205357630205,4.74922,82.7434,8.95088,4831.0,,,9.30546,,283.605193106346,-64.0642889434743,6.7907,7.69,7.40272,4916668317518754944
394234095,24.6039184502351,-83.2477606945055,4.87922,48.7434,-29.3434,4854.3,,-0.28,11.6414,,301.282943887151,-33.729439560713,6.3947,7.32,7.01652,4617989625965316096
405479191,24.366786068758,-84.7696155985625,9.59977,34.9764,25.8069,5151.0,,,10.0538,,301.699809645264,-32.248088724096,4.8598,5.66,5.42258,4616663752381098240
115318198,26.9490357069989,-37.1594845397329,6.62715,0.475424,20.3577,4986.0,,,11.3944,,256.588283347444,-74.4453634556926,5.4817,6.33,6.06013,4962776784305622272
304134062,28.4142627551646,-72.2517138408213,6.33423,-21.6434,10.7783,5011.0,,,4.40573,,296.398122369628,-44.0786337354248,7.6357,8.47,8.21396,4686807199754348032
123270975,29.1443107147936,-32.1383336917236,7.77059,22.9191,8.16425,4968.0,,,8.92835,,236.346319659772,-75.0040473226204,5.6815,6.52,6.26235,5018074110284274176
232074535,28.7338835415976,-67.6473040625751,14.6943,75.6802,73.6091,5004.87,,-0.161001,10.6028,,293.925518535494,-48.3554812936402,3.8735,4.68,4.43863,4697508196671120000
184398869,29.2920204420143,-47.3853037908041,13.101,102.213,16.3009,5255.0,,-0.02,9.82656,,274.840876668109,-65.9985889817675,4.0572,4.82,4.59242,4942195301023352320
232076433,28.9693322122821,-68.3918964560992,5.06026,-21.4982,-1.93412,5159.0,,,9.45384,,294.210649664242,-47.6303789426339,6.3241,7.1,6.87015,4694403210193964672
123318675,29.6111528008406,-33.0667913049664,7.49837,12.678,-21.8594,4912.0,,,10.2724,,239.289196194882,-74.361604130444,5.508,6.37,6.10165,5017705602091851264
111243308,29.8584354546653,-40.7272082807534,5.36254,-77.5894,-28.5388,5033.0,,,10.3901,,261.40935074796,-70.4754549347797,6.1015,6.93,6.67177,4957828913261430400
355788466,29.4721883489948,-65.4246773373575,5.9529,-17.4902,-10.8319,5171.0,,,11.3052,,292.204762109219,-50.2969224158231,5.5807,6.36,6.1263,4699012706535066496
184533614,29.9117291115775,-42.0305318673129,11.1516,-49.9544,-99.8587,4787.0,,-0.05,10.666,,264.250427689401,-69.6035517917927,4.6686,5.57,5.27552,4957551041763211776
231053750,30.0704231792854,-55.0127933367829,6.71061,65.6855,5.62507,5010.0,,-0.03,10.2002,,283.442796641632,-59.4336639562928,5.6771,6.51,6.25469,4719691771475161984
123322772,30.3113444495095,-30.0018292005123,11.4896,-109.334,-109.004,5048.59,,-0.564238,9.77913,,227.667621386099,-74.4218218834277,4.5435,5.34,5.09936,5020586872310485632
231063724,31.6185275077232,-55.0828492001817,5.42614,34.1567,7.85005,4901.0,,,10.7149,,282.055354468277,-58.8990522917549,6.1392,7.02,6.73936,4743521899300843008
273854939,31.745551783904,-65.9457561652443,6.60223,6.40385,-13.9629,5173.0,,-0.05,8.69791,,291.227559788226,-49.4304414828343,5.9258,6.71,6.47147,4698279263559841920
7222091,32.5200253381087,-43.8155737190511,7.59193,57.14,-9.01175,5154.0,,,9.0504,,264.534615784391,-66.9916524856669,5.5414,6.32,6.08687,4944691364218076672
220018457,32.6392993541774,-48.0944568476836,5.16853,48.5892,-12.5055,4892.0,,,7.72295,,271.906353404368,-63.9903827202014,6.9526,7.83,7.55108,4939689891980778496
234300790,32.9797898026771,-70.9509510467798,5.04154,-0.617579,10.1938,4967.0,,,10.6644,,293.839290288597,-44.7293842536449,6.2476,7.1,6.83431,4692949071706628608
138740189,33.6331047498897,-41.1667628360936,9.38497,-21.7578,-25.2345,5017.0,,-0.02,9.48705,,257.70468006328,-67.9073428772744,5.0943,5.91,5.66267,4962999572849694592
146246251,34.3328212662432,-35.9829579179079,10.0719,164.177,46.7737,4857.0,,-0.17,6.66638,,244.152293893768,-69.7337833335082,5.8414,6.7,6.43237,4966650741727765248
50381965,33.5790887370738,-76.3575377290945,5.63068,11.0641,20.1226,5082.0,,,11.7849,,296.700881158753,-39.7513371291048,5.7221,6.57,6.29639,4634044385516106752
201795342,35.0952541711555,-56.7841053177413,7.0619,-32.3988,-6.79045,5058.0,,0.09,8.71431,,280.94312509338,-56.3830499179788,5.8764,6.69,6.43886,4739365367390755840
393483049,35.5489534887791,-43.1998092032458,7.7594,61.611,44.6047,4862.0,,-0.25,10.5095,,260.028628167795,-65.6032786236801,5.444,6.3,6.03161,4949848279910222592
233964479,36.5520773987911,-62.9182307767475,8.20328,13.2715,-47.9508,4803.0,,-0.06,4.90826,,286.037069048087,-50.9881275838212,7.0375,7.92,7.6423,4700485261842171904
50472223,36.048765510959,-74.4362433199518,3.55078,71.3314,42.296,4965.0,,,11.7482,,294.859174302349,-41.2057391415498,6.8271,7.69,7.42445,4643322545667588096
49618099,38.0615077482146,-36.4272985107086,7.00158,51.4807,10.9316,4888.0,,,11.8077,,242.769043997544,-66.736012122692,5.3884,6.28,5.99089,4965839611383992064
142199673,38.0629646343606,-45.8712443491853,5.33623,-28.7591,-24.7807,4952.0,,,10.3912,,262.78752599789,-62.6201415279643,6.1751,7.03,6.75881,4945373817340593792
234340300,37.7969174262216,-67.9678719232541,4.66219,16.3447,-6.69127,5172.0,,,9.33787,,289.647447557741,-46.5035499295185,6.514,7.29,7.05686,4695341849526826880
122541607,39.038605041907,-30.0449787933747,5.17298,-17.8066,-6.12559,4952.0,,,19.4928,,226.38777639783,-66.878758468827,4.8835,5.74,5.46911,5067296909397761408
166802128,38.8813914608759,-50.8533972340265,5.21891,35.2944,-19.4096,5013.0,,,10.8655,,270.238946426266,-59.1517894579422,6.1065,6.96,6.68932,4745513698974450688
166802959,39.007485926479,-53.0460197682852,6.93107,57.7737,-17.6741,4964.0,,,4.31101,,273.266920002583,-57.6361526694864,7.5324,8.39,8.12012,4744722737796767744
299800007,37.9188829243637,-79.1094098799179,11.5131,119.53,-49.8751,4942.0,,,10.7258,,297.19048958015,-36.8765272786115,4.4325,5.27,5.01197,4632595744587030528
122575441,40.0102953330405,-30.6336845488536,6.51093,-14.4353,-62.6277,4944.0,,,11.1555,,227.818387472844,-66.0282785776287,5.64424,6.52,6.24399,5064205117059841664
234349272,39.4938980897032,-67.3009199926372,4.9587,-3.41694,-10.8535,5151.0,,,10.6595,,288.324192734704,-46.6905718623123,6.1273,6.91,6.67956,4695478841803764480
91641297,40.1668126364277,-39.8553731763992,23.0768,135.476,-27.9827,4769.64,,-0.339615,10.1452,,249.297173917521,-64.0651826054329,3.2197,4.11,3.82893,4951967794731342464
308226686,40.5275303706486,-38.3836871436733,7.94323,20.9767,13.0187,5150.53,,0.0676923,10.0195,,245.896221919565,-64.2890406373213,5.2216,5.99,5.76846,4952714947241995776
122612510,40.9153937800826,-33.0455193013183,5.75238,-9.31486,9.1791,5087.0,,,9.77046,,233.508814349509,-65.0948370173275,6.0384,6.85,6.59887,5062731393523407232
142300174,40.8444991911283,-44.653918566738,5.23054,-39.3601,-30.4253,4827.0,,,9.2853,,258.379832284741,-61.5885149085805,6.5915,7.5,7.20469,4945948724482955520
142305400,41.3872981795109,-42.8387001800384,9.56278,-1.35104,-71.6527,4902.0,,-0.17,6.45567,,254.573119789218,-62.0561065239824,6.0007,6.86,6.58817,4947619638559927936
259886108,40.8525034195863,-69.1598928894812,6.22292,20.7794,59.9477,4899.0,,-0.09,11.3185,,289.29961669225,-44.8886933183579,5.7953,6.66,6.38859,4646938461454232064
220517490,41.3644916545234,-63.7045534650872,17.7941,18.9131,-8.74218,4961.0,,-0.26,5.52498,,284.113660205131,-49.0489171789005,4.916,5.73,5.48805,4721208444685753984
122669366,41.8906275966085,-35.5506215273129,6.92689,-41.6344,-35.085,4998.0,,,9.96751,,238.991785361242,-63.9272727346118,5.6734,6.51,6.25201,5049865939245692032
122670952,42.1289509847673,-33.7830583174313,5.42085,-11.476,-34.782,4952.0,,,11.456,,234.943022464628,-64.0038075656315,5.9427,6.8,6.53036,5050674045933419136
