tic_id,ra,dec,plx,pmRA,pmDEC,Teff,logg,MH,rad,lum,gallong,gallat,Tmag,Vmag,GAIAmag,source_id
70761919,0.752231032772616,-34.7439377438287,7.923,21.6074,46.1771,4975.0,,,4.9392,,353.672197625733,-77.1389069733121,6.9159,7.76,7.49516,2312742960074843904
439399563,1.08246329240821,-16.5290378381991,9.80544,48.3942,-60.6318,4734.45,,0.11,11.3744,,74.697340462159,-74.7914253916919,4.88553,5.78,5.49423,2414986756795427328
70797228,2.01452826219537,-33.5293260892275,10.4919,-43.1451,3.73868,4691.0,,,11.5184,,355.9119176988,-78.6710449920978,4.7254,5.67,5.35999,2313208023428489984
37652064,2.07305290004826,-8.82411248362497,8.93758,-34.4089,-34.673,4741.0,,-0.07,11.3779,,91.7932129338209,-69.0454257761747,5.10561,5.986,5.70895,2429415922764859392
289672819,2.67847617806728,-12.5798990568389,13.881,148.107,-38.7561,4845.84,,0.0285882,7.20631,,87.6914878713801,-72.6035591433293,4.9876,5.8604,5.5815,2418378578368615680
408015262,3.81778195152868,-6.1382147327241,6.34465,-36.1985,-50.7298,4784.0,,0.03,7.02799,,99.0300590541911,-67.3162266581671,6.85036,7.75,7.46153,2443383774886310528
423343811,5.26782960677501,-2.90959901190402,12.0826,87.692,4.63807,4907.0,,,4.89869,,104.938303142705,-64.7151812840965,6.0621,6.91877,6.64875,2540550434931505664
246847023,5.37999161778641,-28.9814710181134,9.70813,33.2634,-72.0648,4932.0,,0.1,13.4689,,15.5098898603693,-83.1456594284997,4.34636,5.18,4.91784,2321733980187923712
80418008,9.96645998474204,-44.796292437421,10.2314,42.9349,17.346,4560.0,,0.03,10.9563,,309.65303505285,-72.1806359650162,5.0651,6.0,5.69556,4979682840735231616
92225029,10.9586888765298,-12.0118266705469,16.9674,2.53949,-201.139,4702.34,,0.193625,6.04185,,115.833822744882,-74.7786925621043,5.0771,6.01,5.70457,2376965163670518016
