tic_id,ra,dec,plx,pmRA,pmDEC,Teff,logg,MH,rad,lum,gallong,gallat,Tmag,Vmag,GAIAmag,source_id
408015262,3.81778195152868,-6.1382147327241,6.34465,-36.1985,-50.7298,4784.0,,0.03,7.02799,,99.0300590541911,-67.3162266581671,6.85036,7.75,7.46153,2443383774886310528
244134920,4.27312542970643,-1.65301160474338,5.13369,20.1033,10.4105,5114.0,,-0.38,5.3128,,103.58385309025,-63.2272779996314,7.63828,8.38,8.15921,2541687192515862912
202156420,4.55056533986881,52.4125651605794,6.24264,-17.4966,-53.4949,4947.0,,,5.55328,,117.794656393579,-10.1273528100781,7.23529,8.1,7.83016,419139506169426944
303193565,4.82110990526009,14.0547559347573,5.20951,74.1132,-16.9449,4947.0,,0.05,5.9541,,111.216111499867,-48.0842163216004,7.53199,8.36,8.10417,2768172019308167296
,,,,,,,,,,,,,,,,2364170902772821888
98666909,9.34561315609737,-19.5650249677712,2.59814,-1.60151,-5.67781,5100.0,,0.04,10.9816,,99.1113412153187,-81.7789020530724,7.504,8.28,8.04941,2363035828815476864
405228516,11.4181565450912,7.84502007435381,7.30904,-6.07393,6.76865,4943.0,,0.14,5.34156,,120.442126468805,-54.9988538670431,6.9988,7.83,7.57399,2557541493057378048
3900330,11.5572917419823,-11.4523761509871,11.1382,-109.311,-39.0447,5494.0,3.54539,-0.15,2.73825,6.15456,118.217506941897,-74.276425325336,7.0249,7.68,7.49235,2377392804974771968
77481104,12.7761562563418,-12.9276029072537,4.86736,24.0322,-14.3728,4802.0,,0.18,7.90706,,122.60089032185,-75.799136270294,7.14029,8.03,7.74877,2376225982619175424
243146568,15.1383019942066,20.2924866171776,3.49959,3.23479,-40.1111,4816.0,,-0.37,10.706,,125.832722780828,-42.5279145596247,7.1888,8.09,7.79825,2788816827588309120
369473994,15.4150649547936,7.30527007247935,6.00918,-15.4495,5.47664,5020.0,,-0.35,6.37256,,127.407759624978,-55.4776154242541,6.96081,7.75,7.51151,2577612120045309056
369474532,15.4287038948748,9.74603098158641,7.36376,12.8784,36.1435,4926.0,,0.04,5.27617,,127.145888082497,-53.0416100668395,7.02006,7.83,7.59845,2581552907158148224
439455183,18.7834847586654,-22.8994707997399,6.37615,49.0089,3.25656,4951.0,,-0.24,4.83372,,175.98900260854,-83.1680358130472,7.48476,8.3,8.04938,5041629394561540096
11557059,19.6343727207732,-28.7329544990636,8.24244,75.9582,5.5202,4796.0,,0.14,4.95482,,229.510471046918,-83.8039942753388,7.01212,7.89,7.6158,5030097544812093952
411609753,19.8505652349311,18.1377748506825,6.69595,-75.4507,-60.1217,4826.94,,0.112517,6.86222,,132.221275384437,-44.2289984915943,6.75149,7.64,7.35806,2785706343553313408
61203825,20.9061319309196,34.2458618495391,18.4454,244.414,124.143,5207.0,,0.03,3.64531,,130.473135922157,-28.1541370014429,5.5305,6.28539,6.05116,319946961581873280
32550970,20.7608878047236,-16.5603108435616,6.12878,93.1998,64.8688,4922.0,,-0.15,6.56876,,159.251264781169,-77.1457453675876,6.91868,7.75,7.48866,2451577610414636672
186531537,21.1789179447628,36.0639034536834,4.10484,46.2298,-78.442,4777.0,,-0.05,10.4074,,130.430083541245,-26.3228691362783,6.94656,7.86,7.56427,320755579368807168
365158339,22.5780097730418,11.090898296479,3.1125,5.84726,0.118399,4972.0,,0.01,10.4691,,138.071855471712,-50.6345702270468,7.4841,8.42,8.11623,2585502078047111424
344368943,22.557798762288,-28.8654370035021,6.36246,41.4366,-9.41254,4809.0,,-0.02,6.13389,,226.653189420153,-81.2650189342531,7.09181,7.96,7.68796,5035157325523945856
47067036,22.9785730113277,16.0469572932802,9.66017,2.61147,-147.176,4919.0,,0.07,4.0781,,136.927977134623,-45.72193996587,6.95731,7.82,7.53688,2592090901476690048
55857603,23.3161671915756,-25.6671857087923,3.26584,57.9442,-35.8934,4839.0,,-0.08,10.0049,,206.420130430296,-80.5233456121281,7.45321,8.34,8.06131,5036972859739884032
29848295,23.5680843312541,-6.27259955789342,2.66366,-6.57458,-26.0102,4945.0,,0.09,11.4674,,150.880884497508,-66.7910607464406,7.5383,8.38,8.12134,2478093948225693184
29921672,24.3586164959711,-15.9976910432528,6.82681,74.4658,27.372,5025.0,,-0.08,4.97452,,169.057581380377,-74.5832123007393,7.20177,7.99,7.74944,2452515150235766656
327440730,25.2070394523003,45.0189479992195,6.30308,-45.4942,-44.8345,4907.0,,-0.05,5.44358,,132.02551682591,-16.9789473804487,7.28247,8.13,7.86397,350486446801241088
376987826,25.0981409989555,7.08660231060134,4.70566,6.86546,-37.5988,4916.0,,,7.11001,,143.793084086098,-53.7905254824656,7.31811,8.19,7.91351,2565548793861285248
10839269,25.2873634930097,-9.96857433822169,6.32881,-1.2578,-33.0231,4865.0,,0.27,5.26227,,159.618030614682,-69.2195136699445,7.40802,8.27,8.001,2464004703148221696
241537527,25.5143189461152,-4.94447652435184,2.2619,28.4408,21.5477,4906.0,,-0.1,11.4431,,153.704077160845,-64.7476936620401,7.9218,8.78,8.51046,2480152165273604736
241671628,26.4904459691318,-4.22866843842709,7.18175,-17.172,-36.2047,5097.0,,-0.11,4.33892,,154.918999912339,-63.6615457380923,7.32099,8.08,7.8634,2480297541326355584
33494863,26.6735289281859,-24.013974834417,8.50864,150.254,96.4237,4748.0,,-0.22,4.59426,,201.96106789751,-77.1637570319594,7.15735,8.1,7.76981,5038295950184756736
,,,,,,,,,,,,,,,,5134394159805515136
67518579,29.6012745083723,40.913666144019,7.85945,112.607,-7.79302,5084.0,,-0.21,3.74828,,136.344611476328,-20.2074376468596,7.45433,8.23,7.9951,345684982602131584
291954781,30.0894549033281,44.1027142377244,6.29963,31.6945,-12.6002,4929.0,,0.09,6.76779,,135.786292512455,-17.042063862864,6.8064,7.66,7.38857,346716874264268032
404713720,29.9441600905462,15.9578834274134,5.87011,-28.2313,-18.4879,5392.0,,-0.09,4.86292,,145.984426801062,-43.8336768586358,7.3352,8.03,7.82561,78635667164851072
