tic_id,ra,dec,plx,pmRA,pmDEC,Teff,logg,MH,rad,lum,gallong,gallat,Tmag,Vmag,GAIAmag,source_id
470913104,1.17491792700543,67.1664447258474,10.155,95.9306,23.6691,4801.88,,-0.105,11.0005,,118.409105234579,4.70602330921693,4.7887,5.68873,5.39282,528550533855154304
357331278,1.42484272142701,13.3962666690523,8.21402,42.8593,-5.57182,5140.0,,-0.03,12.3862,,106.186359812301,-47.9827810398902,4.76202,5.53872,5.30735,2768591448634694912
84155016,4.23767935560092,61.533182106882,4.7303,-6.37722,-2.61599,5877.0,,,18.2265,,118.833639626972,-1.06383752773538,4.945,5.74196,5.50525,429685128350863872
37749213,4.85697416042614,-8.82391342768594,11.88,-14.0,-38.0,,,,,,98.9795326369604,-70.1926919884015,2.5224,3.55227,3.19669,2429978803998630400
257193252,6.35086809658657,1.93969238877844,5.49124,-14.6684,-12.7432,5305.43,,-0.00411765,15.0583,,109.729425956768,-60.2629955034214,5.02603,5.76277,5.55246,2547633626278189184
202715253,7.92148730099628,52.839527113478,9.76602,-55.166,-12.5669,4622.0,,,13.8244,,119.906239607925,-9.9161424776962,4.58711,5.59541,5.2484,416384782862127872
267649786,9.338413453924,35.3995030220627,3.50228,-8.72832,-2.99828,5252.02,,-0.09,29.182,,119.699911661285,-27.383843227493,4.6582,5.43084,5.20059,365652216839649280
25695100,9.63894722270677,29.3117579428268,19.4949,-228.629,-254.29,5054.4,,-0.529236,9.09536,,119.565092725999,-33.4757616963895,3.5436,4.35336,4.1052,2858181236614036864
312141546,10.126837901138,56.5373321069905,14.27,50.36,-32.17,4565.03,,,,,121.416401910831,-6.30224764656423,2.0542,2.22713,2.98819,418551920284673408
213004473,10.1765467927245,-4.35184066000245,5.20282,-15.6829,-14.1912,4644.36,,-0.354885,22.5604,,116.048631336424,-67.0800523561088,4.93723,5.921,5.57933,2527541872345889792
424010158,10.2799346331503,39.4586635025727,9.84142,-14.0835,-3.21754,5167.0,,-0.0422273,11.0337,,120.762534181732,-23.3696177452695,4.51631,5.30072,5.06063,368641514078070016
114472728,11.5489823680832,-22.5221035126762,10.5515,194.376,-7.21276,4926.0,,,10.6346,,108.173636227198,-85.2428990093889,4.656,5.49,5.23861,2349116011607993344
293407810,12.0725402365483,7.29993048835716,5.42846,111.251,4.44075,4679.1,,-0.100098,21.0788,,121.551521853112,-55.5633800712626,4.97183,5.924,5.6094,2556745141696841984
445359736,14.1662672088589,59.1810557142505,17.2875,-92.0852,-45.0789,4880.21,,-0.342273,10.0332,,123.602771901223,-3.68388306494142,3.7637,4.6242,4.34788,425940947659705600
436552680,14.3016632401183,23.4176539620663,13.7059,-42.0468,-46.211,4970.0,,,13.3231,,124.645473180901,-39.4348995599294,3.5758,4.3947,4.13533,2803727064255015424
14007692,14.4589645610625,28.9922162069331,3.61883,9.61193,-6.3695,4862.0,,,35.7056,,124.616706577919,-33.8586011206008,4.48854,5.42827,5.10998,311018205609523584
