plx,Teff,logg,Fe/H,Mass,Lum,log_Radius,source_id,survey,source_file,host
5.7285,4795.0,2.49,-0.328,1.297768643,1.675088762,0.9986198656,2307581238313699584,coralie,coralie_star_with_gaia_id.csv,False
6.6286,5053.0,3.0,0.132,2.392984362,1.525127933,0.8781180776,2314020734320436864,coralie,coralie_star_with_gaia_id.csv,False
9.7081,4973.0,2.67,0.179,3.082616432,1.961308557,1.110070067,2321733980187923712,coralie,coralie_star_with_gaia_id.csv,False
11.6622,4941.0,2.8,-0.103,2.123871046,1.752900549,1.011473274,2324936647106235520,coralie,coralie_star_with_gaia_id.csv,False
6.5024,4926.0,2.71,0.026,2.125814932,1.747768708,1.011548246,2330610681156163584,coralie,coralie_star_with_gaia_id.csv,False
6.5961,4764.0,2.828,0.143,1.447956523,1.458979138,0.8961987711,2344332654991433472,coralie,coralie_star_with_gaia_id.csv,False
6.7858,4947.0,2.85,0.045,2.244230457,1.711041233,0.9894895032,2380722160542412032,coralie,coralie_star_with_gaia_id.csv,False
4.8201,4879.0,2.62,-0.153,1.835942727,1.749702596,1.020842369,2884920981445869312,coralie,coralie_star_with_gaia_id.csv,False
10.5323,4817.0,2.54,-0.114,1.448244006,1.735128366,1.024663598,2886957689297972224,coralie,coralie_star_with_gaia_id.csv,False
5.5231,5018.0,2.575,-0.318,1.754123753,1.854520696,1.048851741,2888649013058936448,coralie,coralie_star_with_gaia_id.csv,False
5.5808,5121.0,2.96,0.089,2.497137122,1.632461777,0.9201740444,2891972012076595072,coralie,coralie_star_with_gaia_id.csv,False
8.9017,5208.0,3.18,-0.002,2.58431402,1.547356776,0.8629891443,2893116019566306816,coralie,coralie_star_with_gaia_id.csv,False
5.638,5005.0,2.98,0.128,2.348373706,1.544540259,0.8961146733,2897994243420621312,coralie,coralie_star_with_gaia_id.csv,False
6.222,5134.0,2.969,0.081,2.529214718,1.644555017,0.9240184871,2899629320290695040,coralie,coralie_star_with_gaia_id.csv,False
8.6446,5139.0,2.809,0.009,3.000075207,1.933256848,1.067523896,2901273846086933888,coralie,coralie_star_with_gaia_id.csv,False
5.5066,5048.0,2.82,0.049,2.8093599,1.856513044,1.044670537,2903055123643665024,coralie,coralie_star_with_gaia_id.csv,False
6.4576,4754.0,2.49,-0.103,1.053750421,1.718056374,1.027562539,2905699620907349376,coralie,coralie_star_with_gaia_id.csv,False
7.2082,4753.0,2.474,-0.405,1.332678702,1.809960444,1.073697301,2911655366158071168,coralie,coralie_star_with_gaia_id.csv,False
4.6542,4884.0,2.515,-0.09,1.660126114,1.802206488,1.046204641,2919470488651732480,coralie,coralie_star_with_gaia_id.csv,False
8.3144,4848.0,2.75,-0.535,0.937995576,1.495210621,0.8991327957,2920514715460813312,coralie,coralie_star_with_gaia_id.csv,False
14.4208,4789.0,2.67,0.129,1.952518739,1.713031238,1.018678652,2959158391646286080,coralie,coralie_star_with_gaia_id.csv,False
6.5434,4890.0,2.61,0.019,2.1253964,1.731326354,1.009698166,3459806786421605120,coralie,coralie_star_with_gaia_id.csv,False
8.1634,4934.0,2.76,-0.059,2.170979888,1.73174354,1.002126187,3459927423462652160,coralie,coralie_star_with_gaia_id.csv,False
8.145,5060.0,2.914,0.059,2.506752812,1.710639147,0.9696712475,3464574509357459712,coralie,coralie_star_with_gaia_id.csv,False
28.61,5095.0,2.9,0.115,2.523637164,1.664706893,0.9407177775,3478394889483944320,coralie,coralie_star_with_gaia_id.csv,False
7.8783,4990.0,2.87,0.073,2.416601105,1.61585303,0.9343781311,3487277912642549248,coralie,coralie_star_with_gaia_id.csv,False
