HD,SpType,Vmag,e_Vmag,B-V,e_B-V,BC,e_BC,plx,e_plx,Dist,e_Dist,E_Dist,VMAG,e_VMAG,BP-RP,e_BP-RP,Gmag,e_Gmag,Teff,e_Teff,logg,e_logg,Fe/H,e_Fe/H,Mass,e_Mass,Lum,e_Lum,Rad,e_Rad,source_id
496,      K0III,3.88371,0.009123799,1.00385,0.014146819,-0.311621455,0.015927202,24.1983,0.2855,41.28676067,0.484675341,0.496117975,0.804655951,0.027075033,1.2175,0.006332456,0.419039,0.0253375,4858,41,2.56,0.103,-0.009,0.032,1.92753098,0.226485453,50.44129196,1.459357657,10.02607127,0.222880177,4990516294443333504
636,   K1/K2III,5.28956,0.009136662,1.0336,0.014868927,-0.303009561,0.018625322,12.5955,0.0835,79.21774401,0.524653106,0.531569592,0.795447649,0.01703837,1.1773,0.004652956,0.472798,0.0150333,4879,51,2.78,0.152,0.194,0.036,2.229111342,0.092585894,50.46900757,1.173387045,9.942679805,0.237834689,4630854015089595776
770,      K0III,6.53648,0.01013077,1.0438,0.015323593,-0.31696126,0.016948957,7.2222,0.0387,137.9151832,0.737706165,0.745540687,0.838419596,0.015412486,1.1782,0.002683282,0.536962,0.0114563,4845,45,2.66,0.101,-0.081,0.035,1.912149873,0.165648865,49.13790831,1.036798034,9.948863618,0.212533952,4995360192918817280
783,      G8III,7.21305,0.010143155,0.89675,0.016037768,-0.222246936,0.013768572,5.9459,0.0312,167.3746136,0.876811996,0.885929711,1.094602063,0.015240933,1.072,0.003606938,0.83452,0.0115198,5125,28,2.925,0.067,0.003,0.025,2.472442807,0.084501746,35.56787749,0.672848991,7.564738899,0.109326015,4634308989861697536
1221,   G8/K0III,6.48377,0.009136662,0.97495,0.014868927,-0.293311492,0.014055807,5.2022,0.0322,191.1738972,1.178636751,1.193087649,0.076627032,0.016208297,1.1626,0.005166237,-0.206912,0.0134272,4908,32,2.59,0.127,-0.141,0.027,2.56828876,0.133948703,96.97812522,1.916275588,13.62010612,0.222826376,4684936174561038336
1737,      K0III,5.17387,0.009136662,0.98345,0.014868927,-0.268625785,0.020532023,9.7081,0.1287,102.7313798,1.351269439,1.387116228,0.115354393,0.029988056,1.1154,0.004162932,-0.193281,0.0296883,4973,54,2.67,0.134,0.179,0.045,3.082616432,0.12374,91.47629295,3.062037958,12.88457409,0.35327235,2321733980187923712
2259,   K0III/IV,7.12061,0.010143155,0.99535,0.016037768,-0.30556065,0.016511058,9.1553,0.0519,108.8878543,0.616542335,0.623477801,1.935712801,0.015939168,1.1595,0.002109502,1.64382,0.0119683,4873,43,3.088,0.105,0.074,0.028,1.491707863,0.089495115,17.69860918,0.374097646,5.902411096,0.121417024,4997382813277631616
3488, K0II/IIICN,6.40923,0.01013077,0.98005,0.015323593,-0.287030671,0.015145906,7.0827,0.0231,140.616618,0.457943087,0.460891855,0.669046758,0.012354864,1.1541,0.002126029,0.374867,0.00732294,4924,36,2.67,0.132,-0.053,0.029,2.135924425,0.078333788,55.87191601,1.005829381,10.2710159,0.176360302,4921448787917541888
3919,      G8III,4.6052,0.009123799,0.952,0.014146819,-0.311204331,0.016999968,13.3773,0.2891,74.65553063,1.589723617,1.659148283,0.239890067,0.047131128,1.1213,0.001442221,-0.173238,0.0475095,4859,45,2.62,0.104,0.0,0.034,2.336299998,0.231884242,84.82535884,3.914423783,12.99636088,0.384538539,4976326547130178176
4723,      K0III,7.59748,0.011149933,0.9588,0.017211188,-0.302894684,0.014403717,5.5745,0.0422,178.4747024,1.343357409,1.363520073,1.339596668,0.019785366,1.1512,0.001886796,1.05398,0.0166786,4882,34,2.94,0.084,-0.134,0.026,1.507255661,0.072219375,30.57167305,0.689099777,7.728883489,0.138480228,5002475063942538624
4737,      G8III,6.28484,0.009123799,0.8704,0.014146819,-0.191661245,0.01400875,7.9955,0.0264,124.6207344,0.411967909,0.414660888,0.80688847,0.01160918,1.0494,0.002280351,0.545523,0.00744359,5237,28,3.12,0.057,0.052,0.025,2.608097062,0.117780874,45.07223669,0.755284709,8.155340809,0.110787935,4975349390532708608
5275,      G8III,6.82538,0.01013077,0.9503,0.015323593,-0.278974994,0.016269869,5.8025,0.0268,171.4884463,0.790490321,0.797714307,0.654205672,0.014241638,1.141,0.001920937,0.362918,0.0106023,4949,39,2.499,0.164,-0.17,0.035,2.048813131,0.226444747,56.22218612,1.119668609,10.19933048,0.190144087,4932668754323954176
5457,      G7III,5.46024,0.009136662,1.0744,0.014868927,-0.379333881,0.016361483,14.6214,0.0817,68.2617124,0.381628708,0.385866833,1.289354106,0.015194007,1.2413,0.003758989,0.924351,0.0120665,4702,51,2.61,0.134,-0.022,0.032,1.342555344,0.090131387,34.35515479,0.706520144,8.832495253,0.212037562,4691986930313219072
5934,   F8III/IV,7.34769,0.011149933,0.98515,0.017211188,-0.350903932,0.026764237,6.5961,0.0487,150.9547498,1.109262821,1.125511189,1.453456086,0.019466278,1.1807,0.001208305,1.15839,0.0159121,4764,88,2.828,0.215,0.143,0.061,1.447956523,0.141086336,28.77260201,0.877028088,7.87406093,0.314678708,2344332654991433472
6080,  K0IIICNIV,6.61548,0.010143155,0.8738,0.016037768,-0.243583583,0.013057467,12.5881,0.0355,79.25848577,0.224191127,0.225443916,2.120251145,0.01185794,1.0742,0.001421267,1.85891,0.00601683,5055,26,3.27,0.08,-0.062,0.02,1.660081697,0.059856334,14.1036972,0.229120727,4.896399841,0.064177913,4989312535369361920
6192,      G8III,6.10751,0.01013077,0.90185,0.015323593,-0.221788608,0.016379483,8.0214,0.0283,124.2198215,0.438889749,0.441957444,0.636555496,0.012708063,1.0781,0.002140093,0.381052,0.00779667,5124,37,3.011,0.074,0.074,0.032,2.691380852,0.094812592,54.21172727,1.035125973,9.342886817,0.161746202,4907502341912379008
6245,      G8III,5.39466,0.009123799,0.8721,0.014146819,-0.212964714,0.0150291,13.2466,0.0971,75.33363747,0.551418498,0.559463777,1.009715311,0.018326992,1.058,0.003052868,0.724715,0.0162886,5158,32,3.01,0.075,0.009,0.029,2.474813848,0.071700875,38.13289355,0.832430424,7.732855812,0.127788902,4981546822181457024
6269, G8IIICN...,6.29015,0.01013077,0.90525,0.015323593,-0.271809859,0.012956304,7.8412,0.0427,127.067615,0.690520855,0.697972458,0.769975607,0.015552544,1.123,0.001140175,0.487343,0.0116469,4975,26,2.658,0.074,-0.351,0.024,1.797857863,0.058667311,50.20346591,0.935982011,9.537474452,0.133574818,5031542990285872512
6793,      G5III,5.34999,0.009123799,0.84065,0.014146819,-0.174454274,0.015998098,10.8198,0.0832,92.18634825,0.706966676,0.717781066,0.526656941,0.018988382,1.0416,0.003956008,0.263256,0.0166717,5307,34,3.22,0.073,0.068,0.03,2.86315838,0.122736974,57.42737075,1.313289216,8.964250801,0.153946259,4710627809932009344
7082,   G6II/III,6.42619,0.01013077,0.85765,0.015323593,-0.244184176,0.014653051,6.958,0.0279,143.1268793,0.57298497,0.577527126,0.64758399,0.013349272,1.0881,0.002884441,0.376025,0.00897704,5079,30,2.809,0.045,-0.65,0.029,1.873119153,0.063368694,54.78227636,1.000149776,9.559084903,0.142710134,4910344128497677056
8410,      K1III,6.70425,0.010143155,0.99875,0.016037768,-0.31304031,0.01493327,10.9126,0.1684,91.43268632,1.397237955,1.440488392,1.898742602,0.034699185,1.1636,0.001140175,1.61542,0.0338103,4855,37,2.814,0.102,-0.085,0.028,1.281936118,0.067256744,18.43822386,0.641522996,6.069232583,0.140376391,5013145034017111680
8436,     G5IIIp,7.52487,0.010156323,0.81345,0.01676462,-0.311495633,0.017106805,4.3184,0.0913,230.1768452,4.77429233,4.977120183,0.714561834,0.04617124,1.0407,0.002267157,0.467748,0.0458239,4859,45,2.77,0.133,-0.089,0.036,1.870338003,0.282769034,54.79911186,2.485156161,10.44589532,0.305841673,4909105120627535872
8629,      K0III,6.69433,0.010143155,0.98855,0.016037768,-0.302262542,0.017768714,6.6613,0.0502,149.4837895,1.121562588,1.138341912,0.821359506,0.019191776,1.1508,0.001769181,0.5436,0.0164862,4882,47,2.66,0.108,0.019,0.035,2.135363702,0.15986416,49.24489487,1.186263811,9.809294302,0.222781776,5015884810835055360
8651,      K0III,5.42399,0.009123799,1.01065,0.014146819,-0.332934303,0.016061714,12.7929,0.1109,78.00204608,0.674263731,0.685912317,0.963460026,0.020870531,1.1918,0.002282542,0.613427,0.0190621,4806,43,2.65,0.107,-0.139,0.031,1.476280545,0.101202158,44.44160253,1.07797005,9.615680617,0.207861753,4984231417260290048
9163,   G8/K0III,7.26383,0.01013077,0.94605,0.015323593,-0.293877283,0.014280979,9.3205,0.0246,106.9590001,0.282886281,0.284363808,2.117743329,0.011645432,1.1432,0.002343075,1.83496,0.00586342,4906,33,3.13,0.126,-0.112,0.024,1.174400196,0.064254982,14.80653992,0.25129803,5.326285117,0.084718736,4687774151511946368
9218,      K0III,7.9558,0.011162639,1.003,0.01793077,-0.323437655,0.01399871,6.3625,0.0407,156.4687667,0.998558686,1.011237201,1.983661702,0.017794617,1.1698,0.000921954,1.70593,0.0140476,4829,34,3.04,0.097,-0.107,0.022,1.071463412,0.052838728,17.21513295,0.358988521,5.927799245,0.103864095,5035157325523945856
9349,   G6/G8III,6.62448,0.01013077,0.8738,0.015323593,-0.198797889,0.013108725,5.9871,0.0295,166.2275752,0.815951952,0.823897098,0.520964651,0.01470532,1.0547,0.001640122,0.267708,0.0107393,5210,25,3.05,0.063,0.034,0.023,2.796916113,0.079788007,59.03822547,1.071204701,9.430699538,0.124544003,5023006004050778624
9362,   K0III-IV,3.94212,0.009123799,0.9622,0.014146819,-0.295711811,0.013082474,23.3497,0.2408,42.78255159,0.439522565,0.448576617,0.785786586,0.02410206,1.2049,0.00523259,0.399527,0.0230569,4903,28,2.68,0.09,-0.234,0.025,1.806794197,0.068084758,50.57898266,1.277533033,9.85630118,0.16783124,4929469381645492864
9525,   K1/K2III,5.4997,0.009136662,0.9945,0.014868927,0.0,0.0,15.5106,0.3148,64.40064461,1.289963291,1.342815254,1.455248928,0.044444483,1.1998,0.00308707,1.10241,0.0451692,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5009945558259331584
9925,      K0III,7.83215,0.011149933,0.99025,0.017211188,-0.322290106,0.014612975,6.9655,0.0361,142.9750411,0.739820978,0.747418983,2.055848849,0.015829527,1.1767,0.001655295,1.76161,0.0117069,4831,37,2.98,0.102,0.045,0.026,1.288335347,0.073240355,16.09075798,0.319274351,5.726204893,0.104502899,4915840763218160640
10019,      G8III,6.85163,0.01013077,0.92905,0.015323593,-0.26467869,0.012254187,5.6082,0.0253,177.3985054,0.799012612,0.806145817,0.606880217,0.014081524,1.1243,0.003138471,0.329843,0.0100416,4996,23,2.62,0.055,-0.321,0.022,2.008211415,0.108954993,57.95880056,0.996478812,10.16172746,0.128003237,4929816002685540480
10142,      K0III,5.94584,0.009136662,1.0404,0.014868927,-0.336156634,0.015660016,9.7679,0.078,102.0845785,0.812899218,0.825818482,0.9010393,0.019556894,1.1996,0.002640076,0.584879,0.0175926,4798,42,2.52,0.111,-0.085,0.031,1.723525985,0.22070633,47.2114059,1.089435493,9.943875699,0.208496106,5010675118584277248
10537,   K1II/III,5.26336,0.009123799,1.0166,0.014146819,-0.351794008,0.013511308,15.0534,0.1667,66.31711821,0.730579844,0.746742204,1.155231771,0.025602789,1.2042,0.004049691,0.803585,0.0242625,4762,34,2.713,0.097,-0.191,0.024,1.24703862,0.065009385,37.89875077,1.010503156,9.044537687,0.176691061,5021530047130652800
10813,      K0III,7.69684,0.011149933,1.0404,0.017211188,-0.347485056,0.014070956,4.7492,0.0266,209.2927204,1.167789664,1.180732505,1.093069385,0.016465789,1.2045,0.002163331,0.786235,0.0123032,4772,36,2.75,0.099,-0.209,0.025,1.332535962,0.06583254,39.97295626,0.797409031,9.249855996,0.167301216,4916668317518754944
10870,   G8/K0III,7.326,0.011149933,1.02,0.017211188,-0.244072045,0.021001152,4.8792,0.0275,203.7506332,1.143335922,1.156080721,0.780505164,0.01651659,1.2156,0.004695743,0.457621,0.0122229,5049,53,2.89,0.122,0.099,0.043,2.474161568,0.133301521,48.46483653,1.192627271,9.098197124,0.22139643,4617989625965316096
11025,      K0III,5.67425,0.009123799,0.91375,0.014146819,-0.221627656,0.019381482,9.5998,0.1404,103.8963639,1.505940131,1.55008463,0.591248257,0.032770425,1.0929,0.003522783,0.308488,0.0326799,5128,46,2.963,0.083,-0.018,0.04,2.613127556,0.134083136,56.51344208,1.981722933,9.524288767,0.238921571,4616663752381098240
11050,      K0III,6.32698,0.01013077,1.0013,0.015323593,-0.272284431,0.019581567,6.6271,0.0263,150.2408333,0.595479093,0.600152213,0.443040081,0.013293099,1.13,0.003535534,0.158775,0.00879582,4963,51,2.81,0.125,0.137,0.04,2.754516205,0.155734204,67.87310849,1.479528564,11.14327958,0.259229502,4962776784305622272
11916,   K0III/IV,8.46964,0.013201867,0.9384,0.021720785,-0.273794212,0.01295814,6.3342,0.0307,157.1590516,0.759576416,0.766857832,2.487943003,0.01686524,1.1287,0.002061553,2.22268,0.0105415,4961,27,3.25,0.084,-0.016,0.02,1.343612165,0.0614412,10.335714,0.202466571,4.351955992,0.063725117,4686807199754348032
11943,      K0III,6.52323,0.01013077,0.98005,0.015323593,-0.275094496,0.015804259,7.7706,0.2011,128.3544316,3.255439312,3.426195057,0.981175661,0.05599882,1.1356,0.002915476,0.709383,0.0584993,4956,38,2.796,0.086,0.061,0.031,2.317487894,0.106894763,41.45410414,2.221589213,8.733209511,0.269624866,5018074110284274176
11977,      G5III,4.69234,0.009123799,0.9129,0.014146819,-0.254616664,0.0124892,14.6943,0.1523,67.93307353,0.701017555,0.715524034,0.53193368,0.024194204,1.1026,0.005635601,0.206379,0.0225234,5022,24,2.75,0.059,-0.142,0.022,2.11444728,0.10450986,61.52805599,1.542970002,10.36181627,0.163366973,4697508196671120000
12055,      G8III,4.84189,0.009123799,0.83215,0.014146819,-0.184261393,0.015633245,13.101,0.2295,76.20413543,1.320033456,1.366545084,0.431997299,0.03870568,1.0377,0.002801785,0.115864,0.0376357,5269,33,3.05,0.061,0.017,0.029,2.861002073,0.113427975,63.22744574,2.430922977,9.542213494,0.218941574,4942195301023352320
