HIP,B-V,Vmag,plx,e_plx,AV,Teff,logg,vt,Fe/H,e_Fe/H,log_L,Mass,Rad,St,vsini,source_id
242,0.97,7.76,7.02,0.73,0.1,4990,3.14,1.11,-0.04,0.06,1.257,1.84,5.59,RGB,1.53,2312742960074843904
343,1.08,5.78,11.03,0.45,0.1,4790,2.51,1.34,0.14,0.1,1.687,1.95,10.0,HB ,1.35,2414986756795427328
655,1.12,5.67,10.53,0.38,0.1,4750,2.59,1.33,0.12,0.1,1.778,1.95,11.75,HB ,1.48,2313208023428489984
671,1.03,5.99,10.16,0.42,0.1,4960,3.01,1.49,-0.08,0.16,1.648,2.1,8.83,HB ,2.77,2429415922764859392
873,1.0,5.84,13.33,0.35,0.1,4920,3.06,1.17,0.07,0.12,1.478,2.08,8.11,RGB,2.72,2418378578368615680
1230,1.02,7.75,7.12,0.92,0.1,4880,2.95,1.2,-0.09,0.07,1.264,1.55,5.89,RGB,1.62,2443383774886310528
1684,1.04,6.92,12.36,0.58,0.1,4970,3.16,1.15,0.28,0.11,1.104,1.83,4.74,RGB,1.87,2540550434931505664
1708,1.01,5.18,9.87,0.41,0.1,5020,2.73,1.44,0.16,0.12,1.989,2.94,12.28,RGB,2.2,2321733980187923712
3137,1.14,6.0,10.62,0.43,0.1,4730,2.57,1.58,0.05,0.22,1.642,1.85,10.2,HB ,2.81,4979682840735231616
3436,1.11,6.01,17.73,0.44,0.1,4750,2.9,1.17,0.17,0.09,1.189,1.47,5.8,RGB,2.09,2376965163670518016
4293,1.1,5.45,14.7,0.27,0.09,4780,2.74,1.38,-0.07,0.14,1.567,1.75,8.94,RGB,3.14,4691986930313219072
4587,0.95,5.62,10.2,0.53,0.1,5010,2.8,1.33,-0.17,0.09,1.786,2.1,10.74,HB ,1.27,2472524234636869248
4618,1.09,7.78,7.03,0.57,0.123,4750,2.91,1.16,0.01,0.09,1.294,1.45,6.77,RGB,1.56,4904354233963369984
5364,1.16,3.46,26.32,0.14,0.1,4770,2.96,1.36,0.24,0.19,1.863,2.38,11.7,HB ,2.64,2470140321630664064
6116,1.03,7.89,8.06,0.76,0.1,4850,3.11,1.12,0.04,0.08,1.105,1.53,5.28,RGB,1.51,5030097544812093952
6537,1.07,3.6,28.66,0.19,0.1,4820,2.7,1.56,-0.13,0.15,1.724,1.75,10.04,HB ,2.6,2478112158887431296
7118,1.07,5.79,9.77,0.41,0.1,4820,2.74,1.32,-0.06,0.16,1.783,1.85,11.18,HB ,2.04,
8541,1.08,7.88,5.93,0.61,0.1,4670,2.7,1.15,-0.15,0.08,1.405,1.15,7.86,RGB,1.28,4912062772547406976
9313,1.05,5.57,11.12,0.34,0.1,4860,2.71,1.47,-0.03,0.14,1.752,1.85,10.68,HB ,2.81,4957551041763211776
9406,0.96,6.92,18.29,0.51,0.1,4950,3.37,0.93,-0.04,0.06,0.767,1.25,3.22,RGB,1.4,2463221747790023040
9572,0.97,5.87,9.1,0.37,0.1,5130,2.85,1.36,0.15,0.1,1.77,2.65,9.59,RGB,2.73,5148062498087925248
10164,1.0,7.06,17.3,0.56,0.1,4930,3.3,1.05,0.14,0.09,0.762,1.36,3.18,RGB,1.72,5117251502218279552
10234,0.97,5.94,8.4,0.46,0.092,4940,2.59,1.39,-0.17,0.06,1.833,1.85,11.06,HB ,1.27,2494336311948357504
10326,1.01,5.86,9.4,0.36,0.1,4950,2.66,1.36,-0.09,0.09,1.769,2.11,10.28,HB ,1.27,5124830916905105536
10548,0.98,7.3,11.57,0.51,0.193,4980,3.36,1.04,0.11,0.07,1.045,1.66,4.32,RGB,1.64,4693653308904188544
11600,1.05,7.34,19.98,0.76,0.1,4970,3.62,1.06,0.33,0.11,0.519,1.3,2.47,RGB,2.14,5119320611302951424
11791,1.0,5.36,12.28,0.45,0.07,4890,2.68,1.31,0.01,0.08,1.733,2.09,10.72,HB ,1.22,2500064286492779264
11867,1.06,5.91,8.94,0.35,0.1,4770,2.32,1.31,0.18,0.14,1.821,2.32,12.38,HB ,2.0,4966273540519954048
13147,0.98,4.45,18.89,0.26,0.1,4820,2.45,1.42,-0.37,0.08,1.747,1.53,11.02,RGB,2.19,5064312731764645760
16142,1.1,5.74,10.24,0.47,0.124,4940,3.1,1.6,0.21,0.21,1.753,2.43,9.84,RGB,3.15,5162217920022171136
16780,0.92,5.56,8.63,0.41,0.144,5070,2.9,1.35,-0.23,0.07,1.966,2.36,11.79,HB ,1.39,5163536127088403584
16989,0.98,5.86,8.9,0.43,0.14,4960,2.59,1.35,0.0,0.08,1.831,2.61,11.7,RGB,2.19,3243848890110396416
17183,0.95,6.96,20.82,0.59,0.041,4930,3.41,0.87,-0.07,0.07,0.617,1.05,2.72,RGB,1.3,3250710976539167616
17351,1.19,4.59,17.7,0.22,0.117,4700,2.55,1.33,0.29,0.11,1.775,2.11,11.67,HB ,1.35,4856903813234975744
17534,0.96,5.72,9.66,0.32,0.186,5070,2.85,1.43,0.11,0.11,1.819,2.69,9.88,RGB,2.32,4833403848135167104
17738,0.97,5.52,12.13,0.3,0.146,4910,2.63,1.39,-0.33,0.11,1.708,1.75,10.04,RGB,4.25,4887842970929434880
