Star,RAdeg,DEdeg,Vmag,e_Vmag,Av,e_Av,Plx,e_Plx,pmRA,pmDE,RVel,SNR,Teff,e_Teff,log(g),e_log(g),Fe/H,e_Fe/H,Vt,e_Vt,Vmacro,Vsin(i),e_Vsin(i),Mass,e_Mass,Rad,e_Rad,Age,e_Age,UVel,VVel,WVel,Ksmag,Teffp,e_Teffp,source_id
HD 1100,3.81777959,-6.13821196,7.762,0.013,0.099,0.035,7.12,0.92,-36.51,-49.99,22.749,199,4808,29,2.89,0.17,-0.06,0.02,1.165,0.03,4.0,0.6,0.8,1.284,0.112,5.627,0.648,4.449,1.303,36.132,-6.115,-29.551,5.319,4801.0,32.0,2443383774886310528
HD 1293,4.27312298,-1.65301289,8.376,0.016,0.099,0.035,6.31,1.05,25.88,11.56,45.14,241,5160,21,3.27,0.06,-0.44,0.01,0.99,0.03,3.51,2.2,0.6,1.25,0.099,3.674,0.502,3.672,0.929,-25.861,17.024,-39.147,6.354,5247.0,46.0,2541687192515862912
HD 1384,4.55058081,52.4125498,8.097,0.013,0.11,0.015,9.34,1.14,-14.9,-56.14,-35.185,144,4875,50,3.39,0.18,0.31,0.02,1.093,0.06,3.39,2.4,0.4,1.381,0.105,3.581,0.449,4.067,0.935,28.312,-29.649,-20.65,5.785,4947.0,37.0,419139506169426944
HD 1502,4.82110857,14.05475398,8.349,0.015,0.108,0.08,6.28,0.75,74.64,-18.15,-10.024,170,4988,22,3.21,0.07,0.0,0.01,1.123,0.03,3.43,1.2,1.0,1.54,0.097,4.355,0.532,2.617,0.479,-40.35,-41.97,-8.545,6.12,5027.0,44.0,2768172019308167296
HD 2946,8.14629082,-18.10912237,8.08,0.013,0.099,0.035,7.41,0.94,34.13,15.59,10.46,254,5488,15,3.64,0.06,-0.23,0.01,1.171,0.02,3.82,3.4,0.8,1.452,0.111,3.221,0.471,2.638,0.566,-24.045,-0.934,-10.325,6.275,5508.0,45.0,2364170902772821888
HD 3458,9.34561534,-19.56502439,8.257,0.013,0.099,0.035,3.53,0.8,-3.82,-3.96,-4.607,223,5168,25,2.9,0.09,-0.04,0.02,1.42,0.03,4.0,3.2,0.6,2.102,0.257,6.393,1.469,1.019,0.356,7.253,-2.47,4.137,6.18,5156.0,31.0,2363035828815476864
HD 4313,11.41815996,7.84502103,7.829,0.014,0.1,0.074,7.3,0.76,-5.14,6.69,14.482,181,4943,29,3.26,0.06,0.09,0.02,1.104,0.03,3.41,2.2,0.4,1.658,0.109,5.068,0.533,2.188,0.43,-3.335,11.923,-9.298,5.595,5015.0,40.0,2557541493057378048
HD 4395,11.55728796,-11.45237787,7.689,0.013,0.099,0.028,10.56,0.68,-106.18,-38.11,-0.439,249,5610,18,3.75,0.07,-0.15,0.01,1.218,0.03,4.03,1.2,1.0,1.358,0.047,2.681,0.191,3.298,0.408,49.21,11.52,-3.237,5.972,5620.0,43.0,2377392804974771968
HD 4917,12.77614783,-12.92760455,8.051,0.015,0.099,0.028,7.44,0.84,21.61,-15.2,-11.482,180,4794,50,2.85,0.17,0.08,0.03,1.252,0.04,4.0,2.2,0.6,1.268,0.108,4.902,0.549,5.01,1.471,-4.942,-17.733,8.737,5.61,4801.0,31.0,2376225982619175424
HD 5891,15.13830018,20.2924828,8.121,0.015,0.396,0.396,3.98,1.21,2.64,-41.89,-96.564,239,4795,22,2.5,0.03,-0.35,0.01,1.465,0.03,4.0,3.2,0.4,1.143,0.202,9.773,1.933,5.694,3.296,56.833,-88.163,28.657,5.621,4994.0,31.0,2788816827588309120
HD 6019,15.41505988,7.30529335,7.732,0.013,0.099,0.073,7.46,0.84,-19.1,-2.42,-23.812,252,5071,21,3.09,0.06,-0.48,0.01,1.21,0.03,3.46,1.0,0.8,1.219,0.086,4.781,0.48,3.959,0.919,18.923,-4.99,18.268,5.579,5100.0,43.0,2577612120045309056
HD 6030,15.42870486,9.74602251,7.863,0.014,0.087,0.065,9.08,1.03,15.12,36.19,-21.0,211,4972,25,3.27,0.09,-0.02,0.01,1.079,0.03,3.42,1.2,0.6,1.394,0.078,3.796,0.399,3.451,0.574,-7.004,-1.722,28.43,5.553,4930.0,40.0,2581552907158148224
HD 7530,18.7834793,-22.8994699,8.316,0.013,0.098,0.037,6.38,1.32,47.37,3.43,55.245,257,5033,18,3.24,0.05,-0.33,0.01,1.116,0.02,3.45,1.6,0.8,1.194,0.115,3.985,0.651,4.647,1.514,-36.505,-17.887,-51.427,6.087,5018.0,38.0,5041629394561540096
HD 7931,19.63437081,-28.73295461,7.926,0.012,0.1,0.038,8.06,0.76,75.5,5.23,11.248,191,4814,29,3.07,0.08,0.06,0.02,1.1,0.03,3.38,1.8,0.6,1.298,0.083,4.754,0.425,4.556,0.987,-38.315,-24.418,-6.597,5.512,4844.0,37.0,5030097544812093952
HD 7980,19.85056751,18.13777069,7.64,0.012,0.141,0.141,7.51,0.68,-73.34,-59.79,-35.83,174,4750,46,2.87,0.2,0.06,0.03,1.206,0.04,4.0,1.0,0.8,1.34,0.11,6.214,0.596,4.151,1.11,67.684,-14.982,-6.755,5.202,4837.0,29.0,2785706343553313408
HD 8375,20.90615147,34.24588758,6.286,0.011,0.06,0.021,17.65,0.39,233.1,117.8,4.6,256,5240,11,3.6,0.03,-0.03,0.01,1.033,0.02,3.56,0.6,0.8,1.604,0.022,3.707,0.096,2.276,0.086,-58.681,-19.825,33.245,4.29,5231.0,42.0,319946961581873280
HD 8407,20.76089051,-16.56031152,7.764,0.012,0.098,0.037,10.39,0.94,94.71,64.7,-6.833,233,4977,18,3.05,0.03,-0.25,0.01,1.15,0.02,3.42,2.2,0.4,1.127,0.065,3.711,0.335,6.027,1.248,-49.757,-2.384,17.434,5.479,4962.0,39.0,2451577610414636672
HD 8508,21.17891865,36.06390331,7.872,0.012,0.161,0.055,5.61,0.66,46.13,-79.0,9.086,225,4816,26,2.57,0.06,-0.28,0.02,1.427,0.03,4.0,3.6,0.4,1.212,0.13,7.405,1.158,4.705,1.726,-24.558,-45.446,-58.222,5.352,4784.0,31.0,320755579368807168
