HIP,f_HIP,Mass,e_Mass,Fe/H,e_Fe/H,Teff,e_Teff,L*,e_L*,logg,e_logg,R*,e_R*,Mloss,e_Mloss,Age,e_Age,P(St),St,source_id
379, ,1.8,0.25,-0.07,0.1,4732,32,53.1,2.9,2.63,0.08,10.86,0.33,0.01,0.0,2.37,1.05,1.0,RGB,528550533855154304
476, ,2.64,0.1,-0.22,0.06,5065,21,80.2,5.0,2.74,0.03,11.65,0.37,0.01,0.0,0.49,0.04,1.0,RGB,2768591448634694912
1354, ,3.28,0.18,-0.26,0.1,5068,35,186.3,27.0,2.48,0.06,17.74,1.31,0.01,0.0,0.28,0.04,0.19,RGB,429685128350863872
1354, ,2.93,0.19,-0.26,0.1,5030,15,191.8,24.9,2.4,0.05,18.27,1.19,0.01,0.0,0.43,0.1,0.81,HB ,429685128350863872
1562, ,3.46,0.17,0.03,0.1,4487,18,354.8,11.0,1.99,0.03,31.22,0.55,0.01,0.0,0.27,0.03,0.08,RGB,2429978803998630400
1562, ,3.35,0.33,0.03,0.1,4494,30,352.6,11.7,1.99,0.06,31.04,0.67,0.02,0.01,0.36,0.17,0.92,HB ,2429978803998630400
2006, ,2.93,0.1,-0.13,0.1,5210,39,100.0,11.9,2.75,0.04,12.3,0.75,0.01,0.0,0.38,0.03,1.0,RGB,2547633626278189184
2497, ,1.68,0.2,-0.07,0.1,4509,21,95.9,9.0,2.26,0.06,16.08,0.77,0.01,0.0,3.04,1.38,0.96,RGB,416384782862127872
2497, ,1.8,0.25,-0.07,0.1,4564,17,96.7,11.0,2.31,0.05,15.76,0.9,0.05,0.03,2.04,1.09,0.04,HB ,416384782862127872
2942, ,4.07,0.16,-0.35,0.1,5094,34,437.0,61.1,2.2,0.05,26.89,1.92,0.01,0.0,0.17,0.01,0.05,RGB,365652216839649280
2942, ,3.58,0.17,-0.35,0.1,5072,20,452.1,60.8,2.14,0.05,27.59,1.87,0.02,0.01,0.24,0.04,0.95,HB ,365652216839649280
3031, ,1.59,0.15,-0.61,0.1,5008,17,47.8,0.9,2.71,0.05,9.2,0.11,0.0,0.0,1.91,0.32,1.0,RGB,2858181236614036864
3179, ,4.06,0.35,-0.2,0.1,4535,25,814.7,13.3,1.72,0.06,46.31,0.64,0.01,0.0,0.18,0.03,0.02,RGB,418551920284673408
3179, ,3.98,0.3,-0.2,0.1,4552,25,794.3,24.9,1.73,0.05,45.39,0.87,0.03,0.0,0.22,0.05,0.98,HB ,418551920284673408
3193, ,1.3,0.19,-0.44,0.1,4573,26,111.7,14.0,2.11,0.08,16.86,1.08,0.01,0.0,5.48,2.84,0.98,RGB,2527541872345889792
3193, ,1.14,0.2,-0.44,0.1,4629,24,108.2,13.1,2.12,0.08,16.2,0.99,0.1,0.03,7.86,3.09,0.02,HB ,2527541872345889792
3231, ,2.81,0.12,-0.15,0.1,5107,37,90.2,7.2,2.73,0.04,12.16,0.51,0.01,0.0,0.42,0.04,1.0,RGB,368641514078070016
3419, ,2.89,0.3,-0.09,0.1,4828,59,149.7,3.4,2.43,0.07,17.52,0.47,0.01,0.0,0.46,0.13,0.11,RGB,
3419, ,2.9,0.24,-0.09,0.1,4843,47,149.5,2.4,2.44,0.06,17.4,0.37,0.01,0.01,0.53,0.19,0.89,HB ,
3607, ,1.92,0.26,-0.19,0.1,4859,34,60.8,3.5,2.65,0.08,11.02,0.35,0.01,0.0,1.4,0.54,0.06,RGB,2349116011607993344
3607, ,1.69,0.33,-0.19,0.1,4893,25,61.8,2.3,2.61,0.09,10.96,0.23,0.07,0.03,3.61,1.25,0.94,HB ,2349116011607993344
3760, ,1.91,0.29,-0.25,0.1,4587,24,161.7,17.7,2.12,0.08,20.17,1.12,0.01,0.0,1.5,0.69,0.64,RGB,2556745141696841984
3760, ,1.73,0.31,-0.25,0.1,4598,23,184.0,19.5,2.03,0.11,21.41,1.16,0.04,0.03,2.66,1.81,0.36,HB ,2556745141696841984
4422, ,1.59,0.23,-0.4,0.1,4851,27,58.1,1.7,2.58,0.08,10.81,0.2,0.01,0.0,2.58,1.2,1.0,RGB,425940947659705600
4463, ,1.79,0.32,-0.47,0.25,4875,38,93.3,3.6,2.43,0.11,13.56,0.34,0.01,0.0,1.55,0.51,0.74,RGB,2803727064255015424
4463, ,1.37,0.32,-0.47,0.25,4896,20,94.7,2.8,2.34,0.11,13.55,0.23,0.07,0.04,6.2,2.79,0.26,HB ,2803727064255015424
4510, ,2.87,0.38,-0.25,0.1,4669,44,300.7,37.3,2.06,0.08,26.55,1.72,0.01,0.0,0.45,0.16,0.08,RGB,311018205609523584
4510, ,3.02,0.36,-0.25,0.1,4703,45,308.8,39.6,2.09,0.07,26.51,1.77,0.01,0.01,0.48,0.2,0.92,HB ,311018205609523584
4587, ,2.15,0.24,-0.18,0.1,4943,40,57.1,6.1,2.76,0.07,10.32,0.58,0.0,0.0,0.98,0.32,1.0,RGB,2472524234636869248
