Tycho,HD,Multiplicity,BD,SpType,Vmag,B-V,plx,plx_err,vrot,vrot_err,B-V0,VMAG,BC,SpClass,Method,Teff,Teff_err,logg,logg_err,vt,vt_err,Fe_H,Fe_H_err,RV,RV_err,MJD,Dist,Dist_err,GLON,GLAT,z,Uvel,Vvel,Wvel,Popul,logL,logL_err,M,M_err,logAge,logAge_err,R,R_err,Note,source_id
0003-01118-1,2221,0,62,G8V,8.42,0.78,9.69,0.65,1.19,0.39,0.76,3.48,-0.18, IV ,G ,5291.0,5,3.77,0.01,0.93,0.05,-0.13,0.01,-19.6,0.03,54428.102,103.19,6.88,109.42,-61.77,90.3,70.57,-21.9,-3.1, thin ,0.66,0.12,1.09,0.006,9.83,0.009,2.4,0.19,2,2543812479773352576
0011-00529-1,4352,0,110,K0III,7.68,0.94,6.57,0.7,1.54,0.48,0.93,1.69,-0.31,III ,H ,4878.0,5,3.0,0.01,1.09,0.04,-0.28,0.01,-11.64,0.02,53985.324,152.21,16.22,119.96,-62.26,82.31,-80.13,-51.78,7.32, thin ,1.35,0.15,1.01,0.04,9.94,0.07,5.94,0.74,2,2549093502840246912
0014-00693-1,       ,4,126,G5,9.25,0.96,1.92,0.46,1.7,0.7,0.95,0.62,-0.33,III ,B ,4820.0,10,2.47,0.04,1.34,0.04,-0.39,0.06,31.13,0.03,54792.238,520.12,125.37,122.05,-57.94,-511.81,-48.2,21.01,-12.46, thin ,1.78,0.13,1.42,0.228,9.44,0.208,11.32,2.14,1,2552761611069384704
0014-00731-1,4446,4,118,G8III,8.99,1.03,2.7,0.56,1.7,0.7,0.97,0.67,-0.34,III ,B ,4785.0,10,2.58,0.03,1.38,0.08,-0.32,0.06,31.5,0.02,54428.223,427.68,286.47,120.77,-58.02,-425.39,-64.5,-21.7,-30.86, thin ,1.65,0.11,1.3,0.188,9.57,0.205,9.68,1.52,1,2552782222616694016
0014-00752-1,       ,4,119,K0,9.75,1.15,1.94,0.53,2.1,0.6,1.01,0.77,-0.38,III ,B ,4709.0,8,2.43,0.04,1.43,0.04,-0.34,0.05,-1.67,0.02,54420.246,514.58,139.64,120.78,-57.9,-502.27,-23.67,-49.77,-19.91, thin ,1.74,0.12,1.23,0.219,9.66,0.238,11.16,2.1,1,2552797310837479552
0014-00769-1,       ,4,107,K0,10.11,1.33,1.76,0.46,2.0,0.5,1.1,0.62,-0.46,III ,B ,4540.0,5,2.35,0.03,1.24,0.05,-0.46,0.05,28.28,0.03,54786.223,568.59,149.78,119.92,-58.0,-564.71,-20.19,-19.45,-40.12, thin ,1.84,0.05,0.93,0.054,10.04,0.085,12.02,1.1,1,2555793239505069184
0014-00882-1,       ,4,112,K2,9.96,1.31,1.47,0.45,2.9,0.3,1.24,0.59,-0.58,III ,B ,4368.0,10,2.19,0.04,1.52,0.07,-0.04,0.07,-29.31,0.09,54046.262,682.06,208.2,120.24,-58.01,-677.7,32.74,-31.14,4.86,thick ,1.9,0.12,1.21,0.2,9.79,0.228,15.05,2.77,1,2552791572761154688
0017-00572-1,       ,4,122,K2,8.97,1.13,2.72,0.44,2.0,0.5,1.11,0.88,-0.46,III ,B ,4548.0,8,2.51,0.03,1.28,0.05,-0.32,0.05,21.02,0.03,54428.234,399.28,256.51,121.35,-57.76,-373.45,-18.99,-7.1,-25.19, thin ,1.66,0.06,0.95,0.058,10.04,0.087,9.93,1.04,1,2552816861528653312
0017-00668-1,       ,    ,      ,            ,10.46,0.75,1.44,0.52,1.5,0.7,0.98,1.25,-0.35,III ,B ,4757.0,15,2.69,0.05,1.19,0.06,-0.37,0.06,-12.76,0.02,54812.164,694.86,251.65,121.23,-56.94,-267.28,-41.06,-68.87,-11.83,thick ,1.54,0.14,1.11,0.182,9.8,0.231,8.27,1.78,1,2555967855695383936
0017-00900-1,       ,5,107,K0,9.67,1.04,1.74,0.34,2.0,0.5,1.1,0.87,-0.46,III ,B ,4543.0,5,2.4,0.03,1.28,0.05,-0.37,0.05,20.67,0.03,54039.133,574.65,111.01,121.48,-56.43,69.4,-16.38,-46.0,-47.69, thin ,1.74,0.06,0.96,0.07,10.02,0.105,11.07,1.16,1,2556068564088583424
0017-01084-1,4760,5,109,K2,7.51,1.43,1.49,0.28,1.4,1.1,1.38,-2.18,-0.82,III ,B ,4076.0,15,1.62,0.08,1.56,0.08,-0.91,0.09,-67.79,0.06,53747.078,815.34,593.22,122.13,-56.46,70.66,60.22,-15.0,49.02, thin ,2.93,0.11,1.05,0.19,9.78,0.244,42.36,9.18,1,2556428551067486720
0017-01136-1,       ,4,111,K0,9.53,1.04,1.85,0.46,2.7,0.5,0.98,0.68,-0.36,III ,B ,4753.0,10,2.43,0.04,1.5,0.05,-0.41,0.05,-1.3,0.04,54321.371,540.26,132.85,120.23,-57.44,-420.54,42.09,-7.26,-18.46, thin ,1.77,0.13,1.28,0.2,9.57,0.213,11.37,2.13,1,2555850963865573504
0017-01292-1,       ,4,114,K0,9.28,0.95,7.91,1.88,1.8,0.9,0.92,3.69,-0.27, IV ,B ,4981.0,18,3.77,0.06,1.04,0.08,0.05,0.06,23.06,0.03,53631.406,126.39,30.09,120.59,-57.09,-64.93,-37.31,-32.63,-35.83, thin ,0.53,0.13,1.11,0.116,9.89,0.159,2.37,0.5,1,2556005239090709504
0017-01299-1,4366,4,113,K2III,8.83,1.17,3.97,0.45,2.2,0.6,1.09,0.8,-0.41,III ,G ,4622.0,15,3.0,0.06,1.26,0.1,-0.06,0.08,-39.84,0.03,53665.305,251.89,28.58,120.44,-57.57,-214.27,-33.14,-62.95,20.84,thick ,1.44,0.21,1.0,0.029,10.08,0.043,6.69,1.24,1,2555834436831421952
0018-00446-1,       ,4,132,K2,10.37,0.98,1.55,0.47,2.0,0.5,1.01,1.32,-0.36,III ,B ,4750.0,5,2.68,0.03,1.39,0.05,-0.16,0.05,-1.14,0.03,54852.07,646.84,194.85,123.52,-57.29,-437.56,-57.83,-69.51,-18.41,thick ,1.52,0.11,1.24,0.149,9.66,0.176,8.45,1.24,1,2553277522540895104
0019-01406-1,6734,1,212,G8IV/V,6.46,0.85,18.17,0.35,1.86,1.27,0.85,3.03,-0.27,III ,G ,4986.0,15,3.54,0.04,0.85,0.06,-0.47,0.01,-94.76,0.03,54000.391,55.03,1.06,131.38,-60.61,43.66,43.1,-154.47,22.51,thick ,0.9,0.06,0.87,0.005,10.12,0.01,3.21,0.22,2,2538316124224549376
0035-00202-1,10366,5,226,G5,7.95,0.77,27.59,0.43,0.85,0.64,0.69,5.28,-0.22,  V ,G ,5542.0,10,4.47,0.04,0.76,0.08,0.17,0.01,-1.12,0.03,55500.305,36.24,0.57,144.78,-54.69,34.78,-7.92,-31.18,-14.06, thin ,-0.01,0.12,0.97,0.02,9.69,0.162,1.01,0.1,3,2562408107616075264
0048-00271-1,18012,1,509,G8III/IV,6.75,0.9,8.15,0.26,1.02,0.39,0.93,1.3,-0.34,III ,G ,4790.0,5,2.68,0.03,1.12,0.04,-0.67,0.01,-124.81,0.03,53757.117,122.72,3.89,173.15,-48.62,122.36,125.38,-75.0,33.94,thick ,1.51,0.07,0.86,0.004,10.11,0.008,7.65,0.49,2,1249152584299776
0052-00372-1,16466,6,405,K0,8.41,0.81,12.16,1.31,1.68,0.64,0.71,3.76,-0.28, IV ,H ,5474.0,12,4.23,0.04,0.9,0.08,0.02,0.02,47.58,0.03,53996.312,82.24,8.86,164.12,-47.17,3.53,-53.47,-69.95,-47.77,thick ,0.5,0.24,0.94,0.02,10.1,0.03,1.6,0.37,2,18930570869037056
0061-01209-1,18747,4,480,K0IV,8.13,0.94,12.41,0.32,0.0,0.51,0.9,3.62,-0.26,III ,G ,4994.0,10,3.69,0.04,0.86,0.06,-0.03,0.01,47.5,0.04,54081.25,80.59,2.08,171.82,-44.94,-65.95,-70.51,-84.76,-24.9,thick ,0.6,0.1,1.08,0.022,9.91,0.032,2.56,0.22,2,6808867489604992
0096-00005-1,       ,6,758,K5,9.84,1.45,1.58,0.77,2.5,0.4,1.39,0.63,-0.76,III ,B ,4172.0,33,2.59,0.11,1.47,0.12,0.1,0.1,45.81,0.06,53779.164,633.24,306.81,191.25,-23.27,605.99,-70.61,-78.97,43.16,thick ,1.95,0.19,1.29,0.295,9.75,0.28,13.78,4.72,1,3288967177958335104
0096-00109-1,       ,6,750,K0,9.77,0.98,1.92,0.39,1.8,0.7,0.89,0.92,-0.26,III ,B ,5000.0,10,2.91,0.03,1.27,0.05,-0.08,0.05,29.19,0.02,54788.414,521.15,105.31,190.7,-23.8,506.23,-38.79,-33.92,-8.35, thin ,1.64,0.06,2.09,0.136,9.05,0.083,8.59,0.94,1,3289083584455204096
0096-00163-1,       ,    ,      ,            ,10.49,1.01,1.66,0.72,1.7,0.6,1.03,1.59,-0.37,III ,B ,4720.0,10,2.79,0.05,1.21,0.05,-0.09,0.06,-44.03,0.05,54780.289,602.98,263.41,190.7,-24.02,540.2,44.07,-47.11,-5.77, thin ,1.41,0.15,1.21,0.198,9.75,0.225,7.47,1.62,1,3289075097599827968
0096-00301-1,       ,    ,      ,            ,9.89,1.14,2.29,0.76,1.8,0.6,1.06,1.44,-0.38,III ,B ,4702.0,10,2.73,0.04,1.37,0.04,0.01,0.05,-2.99,0.03,54065.234,437.24,144.57,191.76,-22.93,353.81,-14.75,-6.63,6.48, thin ,1.48,0.13,1.35,0.169,9.6,0.179,8.27,1.5,1,3288154497129533056
0096-00371-1,       ,6,755,K2,10.18,1.36,2.52,0.97,1.8,0.6,1.14,1.49,-0.45,III ,B ,4565.0,10,2.7,0.05,1.25,0.06,0.05,0.07,13.28,0.03,54788.395,396.24,152.51,191.62,-23.65,394.6,-34.28,-45.06,26.93, thin ,1.49,0.11,1.17,0.16,9.84,0.193,8.42,1.58,1,3288796684936155904
0096-00378-1,       ,    ,      ,            ,10.41,0.88,1.43,0.41,2.2,0.6,0.97,1.19,-0.36,III ,B ,4752.0,5,2.55,0.02,1.43,0.04,-0.46,0.03,46.24,0.03,54778.277,698.31,201.49,190.66,-23.28,670.97,-33.99,-115.35,-27.17,thick ,1.57,0.08,1.02,0.1,9.9,0.147,8.91,0.97,1,3289186594950481024
0096-00417-1,       ,    ,      ,            ,9.84,1.06,1.45,0.57,2.1,0.5,1.02,0.54,-0.37,III ,B ,4720.0,5,2.42,0.03,1.35,0.05,-0.19,0.05,-48.56,0.03,54452.32,690.14,272.01,191.35,-23.1,619.03,39.52,-17.89,3.15,thick ,1.83,0.12,1.57,0.234,9.35,0.184,12.55,2.03,1,3288925808833311872
0096-00418-1,       ,    ,      ,            ,10.62,1.21,1.69,0.51,2.1,0.5,1.08,1.36,-0.42,III ,B ,4620.0,10,2.62,0.03,1.4,0.06,-0.16,0.06,-3.91,0.03,54778.293,592.67,179.75,191.26,-22.89,463.64,-2.87,-53.05,2.95, thin ,1.52,0.07,1.01,0.098,9.97,0.136,8.58,1.05,1,3288953296623949312
0096-00659-1,30897,5,751,K0,8.28,1.26,3.11,1.11,2.1,0.8,1.09,0.43,-0.37,III ,H ,4737.0,20,3.51,0.07,1.36,0.14,0.45,0.08,1.09,0.03,53038.199,321.54,114.76,192.45,-23.1,287.55,3.78,-48.25,-25.64, thin ,1.96,0.4,1.41,0.231,9.62,0.206,8.81,4.0,1,3288067846166646272
0096-00708-1,       ,    ,      ,            ,10.17,1.25,2.27,0.76,2.0,0.7,0.91,0.88,-0.27,III ,B ,4984.0,8,2.87,0.04,1.36,0.05,-0.04,0.05,-12.64,0.03,54782.27,440.08,147.31,191.88,-23.69,436.73,7.63,-19.99,-13.62, thin ,1.65,0.08,2.09,0.153,9.07,0.092,8.89,1.23,1,3288038468589744512
0096-00732-1,       ,    ,      ,            ,10.11,0.9,3.98,0.29,,3.5,0.86,0.95,-0.25,III ,G ,5051.0,5,3.44,0.02,0.96,0.05,-0.22,0.04,48.99,0.02,54869.176,251.4,18.25,190.71,-23.8,244.17,-47.96,-52.49,-29.15, thin ,0.81,0.24,1.13,0.088,9.77,0.111,3.34,0.57,1,3289083515735727616
0096-00778-1,       ,6,754,K0,9.59,1.04,2.87,0.69,2.4,0.7,1.01,1.79,-0.36,III ,B ,4736.0,10,2.85,0.04,1.05,0.09,-0.23,0.06,-7.99,0.03,53778.172,348.51,83.85,190.93,-23.35,340.8,-1.54,-50.96,8.59, thin ,1.33,0.1,1.02,0.106,9.96,0.149,6.57,1.03,1,3288986071518413312
0096-00887-1,       ,    ,      ,            ,10.5,1.46,2.81,1.64,1.6,0.6,1.08,1.55,-0.4,III ,B ,4643.0,10,2.74,0.04,1.19,0.08,-0.09,0.06,41.54,0.07,55136.457,355.48,207.78,191.27,-23.66,353.86,-48.14,-24.07,-22.21, thin ,1.44,0.12,1.17,0.166,9.81,0.205,7.89,1.41,1,3288868359350377216
0116-01316-1,38529,1,1126,G8III/IV,5.94,0.75,25.46,0.4,0.63,0.37,0.7,2.97,-0.11, IV ,H ,5618.0,15,3.96,0.04,1.13,0.07,0.38,0.02,30.24,0.03,53743.168,39.28,0.62,204.32,-13.84,-37.52,-24.91,-39.09,-39.44, thin ,0.75,0.08,1.36,0.05,9.61,0.04,2.26,0.31,2,3219847066672970368
0175-01060-1,55630,7,1645,F8,9.26,0.89,15.48,0.24,0.01,0.39,0.74,4.55,-0.34, IV ,G ,5384.0,12,4.12,0.04,0.81,0.08,0.32,0.02,53.69,0.03,54909.168,64.6,0.99,209.35,8.13,62.1,-36.42,-78.16,-3.83,thick ,0.06,0.15,0.99,0.01,10.1,0.013,1.33,0.14,3,3153200439939662592
0185-02499-1,65345,2,1833,K0III,5.3,0.92,14.0,0.91,1.4,0.37,0.9,0.91,-0.26,III ,G ,4989.0,15,2.88,0.06,1.27,0.06,-0.05,0.02,40.46,0.04,55549.305,71.43,4.66,218.7,15.88,-12.34,-81.32,-2.23,-26.39, thin ,1.61,0.11,2.04,0.077,9.09,0.057,8.55,0.92,2,3087915773104836608
0193-01005-1,64815,6,1823,F8,7.86,0.64,14.49,0.34,0.47,1.05,0.6,3.3,-0.11, IV ,G ,5685.0,10,3.8,0.03,0.98,0.1,-0.37,0.01,-28.6,0.04,54065.375,69.0,1.6,214.43,17.31,-68.96,56.45,-41.23,25.52, thin ,0.53,0.08,1.01,0.012,9.87,0.018,2.0,0.13,2,3144165104354632064
0197-01100-1,71431,1,2095,G1V,7.57,0.6,11.41,0.32,1.83,0.97,0.58,3.14,-0.08, IV ,G ,5834.0,17,3.8,0.04,1.12,0.08,-0.03,0.02,6.1,0.03,54052.453,87.62,2.48,223.64,21.65,29.72,3.66,-13.49,37.14, thin ,0.83,0.08,1.31,0.022,9.58,0.023,2.47,0.19,2,3077716870745485056
0212-00161-1,75639,1,2184,K2V,9.01,0.96,28.78,0.31,0.0,0.43,0.87,7.43,-0.25,  V ,G ,5045.0,20,4.72,0.06,0.58,0.31,-0.08,0.03,-19.85,0.04,54920.203,34.74,0.38,226.36,27.05,32.68,8.28,-12.21,-22.04, thin ,-0.31,0.09,0.82,0.018,8.63,0.362,0.78,0.08,2,3075646803883648896
0224-01333-1,       ,    ,      ,            ,3.49,0.76,30.2,4.98,2.59,0.84,0.85,0.89,-0.24,III ,B ,5084.0,15,3.0,0.05,0.63,0.06,-0.17,0.02,40.46,0.03,53786.324,33.11,5.46,220.72,28.52,-8.14,-57.3,-40.49,-18.81, thin ,1.64,0.09,1.99,0.14,9.06,0.09,7.92,1.27,2,
0227-02500-1,80149,0,2493,F6V,8.3,0.52,8.22,0.32,5.28,1.42,0.47,2.28,-0.07, IV ,G ,6109.0,42,3.55,0.09,1.65,0.26,-0.39,0.04,0.98,0.13,53801.172,121.64,4.71,231.66,32.12,78.97,-43.21,-28.77,-55.32, thin ,0.89,0.09,1.3,0.037,9.49,0.033,2.83,0.34,2,3842365398989788416
0229-01999-1,77712,3,2134,K1/2V,8.93,0.85,19.84,0.53,0.01,0.46,0.77,5.09,-0.39,  V ,G ,5290.0,10,4.5,0.04,0.68,0.08,0.24,0.02,5.28,0.02,56419.105,50.4,1.35,226.55,30.71,-32.52,4.71,-34.92,-4.05, thin ,-0.1,0.16,0.91,0.015,9.76,0.193,0.97,0.12,3,577542877903588480
0231-01052-1,81795,3,2208,G5V,8.25,0.94,1.35,0.21,2.1,1.52,0.92,-1.15,-0.4,III ,B ,4671.0,10,1.78,0.04,1.6,0.11,-1.52,0.02,105.82,0.03,55556.367,738.65,115.31,230.37,35.7,-670.42,374.25,,117.18, halo ,2.52,0.07,0.88,0.1,9.96,0.15,23.91,3.04,2,3844838887835297280
0235-02368-1,83329,2,2229,K0IV,6.88,0.96,9.31,0.25,1.27,0.58,0.93,1.84,-0.3,III ,G ,4891.0,10,3.06,0.04,1.05,0.04,-0.2,0.01,39.65,0.02,53794.188,107.37,2.91,233.19,37.13,-57.68,-76.79,-33.91,-14.37, thin ,1.37,0.07,1.24,0.049,9.64,0.057,6.08,0.47,2,
0238-01871-1,82606,4,2205,G2V,8.5,0.69,10.78,0.23,1.29,0.79,0.58,4.11,-0.18,  V ,G ,5917.0,20,4.41,0.05,0.58,0.1,0.26,0.02,18.22,0.03,56232.516,92.79,1.98,229.79,37.49,-19.26,11.55,-51.17,4.9, thin ,0.6,0.14,1.13,0.018,9.49,0.207,1.5,0.19,3,3851081154648381824
0247-00588-1,87160,5,2274,F5,8.07,0.54,8.61,0.43,5.76,1.35,0.54,1.25,-0.08, IV ,G ,5922.0,20,3.4,0.05,1.54,0.09,-0.13,0.02,4.24,0.06,53726.527,116.2,5.87,234.6,44.09,12.81,40.1,-38.09,9.39, thin ,0.85,0.1,1.51,0.036,9.37,0.03,3.3,0.3,2,3849106642218363904
0251-00293-1,89504,8,2345,K0,8.85,1.03,8.96,0.3,0.63,0.42,0.84,3.19,-0.33, IV ,G ,5101.0,15,3.6,0.05,0.81,0.08,0.16,0.02,-4.9,0.03,54840.34,111.55,3.76,234.55,49.07,-103.73,15.01,-50.12,-25.95, thin ,0.78,0.18,1.43,0.049,9.52,0.032,3.14,0.45,3,3875358684922453120
0259-01552-1,91612,7,2330,G8.5III,5.08,0.92,12.26,0.27,1.93,0.54,0.89,0.44,-0.26,III ,H ,5001.0,12,2.77,0.04,1.32,0.05,-0.11,0.02,4.94,0.02,54050.52,81.57,1.8,238.51,51.83,81.57,-54.1,-8.63,-14.82, thin ,1.83,0.07,1.95,0.17,9.13,0.1,10.22,1.46,2,3862530682761469184
0266-00586-1,97503,5,2463,K5V,8.64,1.2,54.18,0.3,0.4,0.71,1.07,7.23,-0.61,  V ,G ,4570.0,50,4.65,0.12,0.49,0.38,-0.03,0.04,16.43,0.07,55630.223,18.46,0.1,252.63,57.42,14.15,-35.58,-34.8,-4.8, thin ,-0.68,0.13,0.72,0.007,8.95,0.581,0.7,0.11,3,3815264842546968192
0272-00909-1,       ,    ,      ,K5,10.76,1.04,1.54,0.73,1.3,0.6,1.18,1.7,-0.5,III ,B ,4492.0,8,2.81,0.04,1.15,0.09,0.08,0.06,29.78,0.04,55241.426,648.34,306.99,269.32,60.47,-455.24,-75.36,-102.32,-23.09,thick ,1.42,0.06,1.04,0.066,10.03,0.093,7.55,0.89,1,3796479514587811072
0273-00125-1,       ,1,2626,            ,9.95,1.2,0.88,0.25,2.3,0.4,1.26,-0.33,-0.65,III ,B ,4272.0,18,2.15,0.08,1.27,0.09,-0.51,0.1,73.77,0.05,,136.19,324.67,272.82,60.46,-790.16,-27.42,-76.58,43.0,thick ,2.29,0.13,1.1,0.206,9.81,0.247,20.05,4.97,1,3795401374717971968
0273-00150-1,       ,    ,      ,            ,10.21,1.04,4.07,0.44,0.8,1.3,0.96,0.86,-0.3,III ,G ,4882.0,10,3.53,0.03,1.02,0.09,0.01,0.06,-2.59,0.02,54216.129,245.51,26.25,272.09,60.16,-111.24,-26.74,-35.73,-21.94, thin ,0.81,0.29,1.02,0.059,10.01,0.076,3.22,0.7,1,3796123169741572352
0273-00224-1,103485,2,2493,K3III,8.28,1.56,2.01,0.44,2.9,0.4,1.39,-0.72,-0.81,III ,B ,4097.0,20,1.93,0.08,1.57,0.12,-0.5,0.09,27.56,0.08,53753.402,497.69,108.24,272.93,60.86,-458.68,-59.97,-37.93,12.79, thin ,2.51,0.13,1.11,0.208,9.79,0.25,27.37,6.69,1,3891488176905501184
0273-00279-1,       ,2,2492,K0,10.04,0.99,4.93,0.48,,5.0,0.93,0.89,-0.28, IV ,G ,4935.0,18,3.88,0.06,0.95,0.13,-0.08,0.08,7.61,0.02,53025.5,203.02,19.75,272.6,60.99,-195.87,-14.49,-43.9,-14.62, thin ,0.69,0.23,0.96,0.024,10.1,0.03,2.45,0.49,1,3892250894377913984
0273-00451-1,       ,    ,      ,            ,10.86,1.11,1.18,0.87,2.6,1.0,0.87,0.47,-0.29,III ,B ,4913.0,10,2.46,0.04,1.39,0.05,-0.59,0.06,26.81,0.02,55240.449,850.94,632.95,270.02,61.17,-847.4,278.83,70.37,70.14,thick ,1.83,0.14,1.46,0.234,9.36,0.2,11.56,2.3,1,3892590952707997696
0273-00669-1,102842,1,2619,G6/8IV/V,9.53,1.1,1.96,0.62,2.4,0.7,0.9,0.39,-0.32,III ,B ,4853.0,15,2.39,0.05,1.56,0.09,-0.58,0.08,-31.31,0.03,53511.184,510.39,162.73,271.14,60.06,-183.92,-19.53,-21.31,-47.07, thin ,1.87,0.16,1.4,0.274,9.43,0.247,12.35,2.93,1,3796185154709476608
0275-00051-1,102163,3,2548,G8IV,8.38,0.88,12.21,0.87,0.01,0.56,0.79,3.02,-0.36, IV ,G ,5235.0,10,3.63,0.04,0.94,0.08,0.1,0.02,28.21,0.03,53791.402,81.91,5.83,267.32,60.88,-75.89,-35.39,-75.38,-9.37,thick ,0.55,0.18,1.49,0.014,9.48,0.009,2.69,0.31,3,3799615596628405632
0276-00507-1,       ,3,2562,K2,9.58,1.27,0.7,0.22,2.7,0.3,1.38,-1.2,-0.81,III ,B ,4095.0,20,1.89,0.1,1.52,0.09,-0.71,0.09,50.88,0.06,,434.66,456.11,269.33,-61.57,-1365.2,123.52,-111.4,-2.45,thick ,2.7,0.14,1.14,0.245,9.72,0.276,32.35,8.82,1,3895649725336884736
0277-00395-1,100872,6,2470,K0,6.83,0.96,6.59,0.32,2.32,0.39,0.95,0.27,-0.34,III ,G ,4800.0,15,2.58,0.05,1.25,0.05,-0.44,0.02,-38.74,0.03,53747.387,151.68,7.34,259.3,62.45,-55.9,-32.89,-88.49,-90.94,thick ,1.7,0.1,1.24,0.083,9.6,0.096,9.84,1.06,2,3909470345980014592
0278-00665-1,102732,7,2484,G5,7.91,0.63,11.9,0.36,3.13,0.59,0.58,3.19,-0.08, IV ,G ,5828.0,15,3.88,0.03,1.19,0.08,-0.02,0.02,0.12,0.03,54066.523,84.06,2.55,264.72,64.71,80.03,-14.44,-59.04,-28.15, thin ,0.68,0.08,1.21,0.024,9.7,0.032,2.12,0.16,2,3897779788597847040
0284-00566-1,106529,5,2602,K0,7.95,0.96,6.94,1.0,1.13,0.69,0.96,1.33,-0.34,III ,G ,4801.0,10,2.73,0.03,1.06,0.02,-0.38,0.01,-35.82,0.02,53763.367,144.0,20.67,280.43,65.8,24.37,-97.44,-23.19,-43.2, thin ,1.21,0.18,0.9,0.02,10.09,0.034,6.28,0.78,2,3894219191989659648
0285-00035-1,107498,3,2635,G8IV,8.4,0.84,10.8,0.28,1.07,0.44,0.8,3.21,-0.17, IV ,G ,5326.0,20,3.93,0.06,0.96,0.06,0.2,0.02,-16.84,0.03,53759.387,92.6,2.4,285.24,64.56,91.4,-81.53,-60.15,-37.87, thin ,0.57,0.08,1.17,0.04,9.82,0.059,2.11,0.2,2,3701419896778537216
0289-01040-1,109218,1,2714,G8IV,8.1,0.82,9.32,0.29,0.89,0.74,0.77,3.13,-0.19, IV ,G ,5260.0,10,3.62,0.03,1.01,0.04,-0.13,0.01,18.43,0.02,54586.148,107.28,3.36,292.62,63.55,70.49,-36.92,-68.32,-6.22,thick ,0.83,0.09,1.28,0.015,9.57,0.016,3.01,0.22,2,3697030096605291392
