name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,log_g,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,Star Name,Gaia_ID,Gaia ID,source_file,parallax,vmag
11 Com b,Confirmed,16.1284,1.53491,1.53491,16.1284,1.53491,1.53491,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2007.0,2023-03-03,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,302.8,2.6,2.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 Com,185.1791667,17.7927778,2.4,4.74,,,,,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19.0,2.0,2.0,G8 III,,,,4742.0,100.0,100.0,,,,11 Com,Gaia DR3 3946945413106333696,3946945413106333696,lick_GK_survey_with_gaia_id.csv,10.167679527196396,4.72307
14 And b,Confirmed,4.684,0.23,0.23,4.684,0.23,0.23,,,,185.84,0.23,0.23,0.83,,,0.0,,,,,,0.010864,2008.0,2023-03-03,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,100.0,1.3,1.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 And,352.8208333,39.2361111,2.63,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11.0,1.0,1.0,K0III,,,,4813.0,20.0,20.0,,,,14 And,Gaia DR3 1920113512486282240,1920113512486282240,EAPSNet1_stellar_params_with_gaia_id.csv,13.16814560392618,5.23133
17 Sco b,Confirmed,4.32,0.12,0.12,4.32,0.12,0.12,,,,578.38,2.0,2.0,1.45,0.02,0.02,0.06,0.02,0.02,,,,,2020.0,2020-10-26,57.03,106.77,106.77,2453294.28,182.91,182.91,,,,,,,,,,,,,,,,,,,92.4,3.84,3.84,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,17 Sco,243.462500017,-11.837777798,1.7,5.24,,,,,116.0,4.53,4.53,-0.01,0.1,0.1,1.22,0.14,0.14,25.92,0.74,0.74,K3 III,5.13,1.33,1.33,4157.0,11.0,11.0,,,,17 Sco,Gaia DR3 4342464209753404416,4342464209753404416,lick_GK_survey_with_gaia_id.csv,7.287383836953851,5.22606
18 Del b,Confirmed,10.3,0.36,0.36,10.3,0.36,0.36,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008.0,2021-10-02,166.1,6.5,6.5,2451672.0,18.0,18.0,,,,,,,,,,,,,,,,,,,119.4,1.3,1.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,18 Del,314.6083333,10.8391667,2.84,5.52,,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,G6III,,,,4979.0,18.0,18.0,,,,18 Del,Gaia DR3 1756741374681702784,1756741374681702784,EAPSNet1_stellar_params_with_gaia_id.csv,13.302135426379998,5.51048
24 Boo b,Confirmed,0.91,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.009,0.042,0.029,0.029,,,,,2018.0,2023-08-07,210.0,130.0,130.0,2450008.6,7.9,7.9,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.162500013,49.845000026,2.17,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.13,10.64,0.59,0.59,G3IV,6.92,4.8,4.8,4893.0,15.0,15.0,,,,24 Bo&ouml;,Gaia DR3 1603662211901473408,1603662211901473408,ptps_with_gaia_id.csv,10.589485564567772,5.59
24 Sex b,Confirmed,1.84,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,4.5,1.333,0.009,0.009,0.09,0.06,0.06,,,,0.017821,2010.0,2021-10-02,9.2,165.4,165.4,2454762.0,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,3.26,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,,24 Sex,Gaia DR3 3830897080395058048,3830897080395058048,keck_hires_with_gaia_id.csv,13.640243543129564,6.4535
3 Cnc b,Confirmed,20.76,0.73,0.73,20.76,0.73,0.73,,,,853.64,4.76,4.76,2.52,0.04,0.04,0.04,0.03,0.03,,,,,2020.0,2020-10-26,275.18,96.04,96.04,2453806.7,175.74,175.74,,,,,,,,,,,,,,,,,,,216.17,11.16,11.16,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,3 Cnc,120.195833349,17.308611124,1.77,5.6,,,,,243.3,26.86,26.86,0.06,0.1,0.1,2.94,0.33,0.33,39.38,3.3,3.3,K3 III,0.43,0.12,0.12,4319.0,22.0,22.0,,,,3 Cnc,Gaia DR3 667368721582875520,667368721582875520,lick_GK_survey_with_gaia_id.csv,4.0598374060932585,5.58104
44 Uma b,Confirmed,12.11,0.85,0.85,12.11,0.85,0.85,,,,785.74,4.77,4.77,2.16,0.06,0.06,0.11,0.06,0.06,,,,,2020.0,2020-10-26,135.6,45.6,45.6,2453560.34,90.8,90.8,,,,,,,,,,,,,,,,,,,158.74,8.62,8.62,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,44 Uma,163.393550338754,54.5851274110819,1.31,5.12,,,,,200.4,12.43,12.43,-0.21,0.1,0.1,2.19,0.43,0.43,45.12,2.32,2.32,K3 III,1.05,0.18,0.18,4215.0,13.0,13.0,,,,44 Uma,Gaia DR3 849917888362404224,849917888362404224,lick_GK_survey_with_gaia_id.csv,5.490027836562714,5.1134
6 Lyn b,Confirmed,2.01,0.077,0.077,2.01,0.077,0.077,,,,934.3,8.6,8.6,2.11,0.11,0.11,0.073,0.036,0.036,,,,0.038664,2008.0,2021-04-11,130.0,38.0,38.0,2455384.0,94.0,94.0,,,,,,,,,,,,,,,,,,,32.8,1.2,1.2,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,6 Lyn,97.6958333,58.1627778,3.22,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978.0,18.0,18.0,,,,6 Lyn,Gaia DR3 1004358968092652544,1004358968092652544,keck_hires_with_gaia_id.csv,18.218259854179408,5.87307
75 Cet b,Confirmed,0.0078,0.00028,0.00028,0.0078,0.00028,0.00028,,,,696.6,3.6,3.6,1.912,0.003,0.003,0.093,0.04,0.04,,,,,2012.0,2023-08-11,203.0,10.0,10.0,2455046.9,54.0,54.0,,,,,,,,,,,,,,,,,,,36.92,1.35,1.35,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,75 Cet,38.0375,-1.035,2.68,5.36,,,,,81.5,7.51,7.51,0.0,0.04,0.04,2.49,0.02,0.02,10.5,1.0,1.0,G3III,,,,4846.0,18.0,18.0,,,,75 Cet,Gaia DR3 2500064286492779264,2500064286492779264,express_post_MS_with_gaia_id.csv,12.171720961532358,5.3532
